unique_id,indicator_id,name,measure,geo_type_name,geo_join_id,geo_place_name,time_period,start_date,data_value,measure_unit,year,indicator_name,location,season
179772,640,Boiler Emissions- Total SO2 Emissions,Number per km2,UHF42,409.0,Southeast Queens,2015,2015-01-01,0.3,number,2015,Boiler Emissions- Total SO2 Emissions,Southeast Queens,N/A
179785,640,Boiler Emissions- Total SO2 Emissions,Number per km2,UHF42,209.0,Bensonhurst - Bay Ridge,2015,2015-01-01,1.2,number,2015,Boiler Emissions- Total SO2 Emissions,Bensonhurst - Bay Ridge,N/A
178540,365,Fine particles (PM 2.5),Mean,UHF42,209.0,Bensonhurst - Bay Ridge,Annual Average 2012,2011-12-01,8.6,mcg/m3,2012,Fine particles (PM 2.5),Bensonhurst - Bay Ridge,N/A
178561,365,Fine particles (PM 2.5),Mean,UHF42,409.0,Southeast Queens,Annual Average 2012,2011-12-01,8.0,mcg/m3,2012,Fine particles (PM 2.5),Southeast Queens,N/A
823217,365,Fine particles (PM 2.5),Mean,UHF42,409.0,Southeast Queens,Summer 2022,2022-06-01,6.1,mcg/m3,2022,Fine particles (PM 2.5),Southeast Queens,Summer
177910,365,Fine particles (PM 2.5),Mean,UHF42,209.0,Bensonhurst - Bay Ridge,Summer 2012,2012-06-01,10.0,mcg/m3,2012,Fine particles (PM 2.5),Bensonhurst - Bay Ridge,Summer
177952,365,Fine particles (PM 2.5),Mean,UHF42,209.0,Bensonhurst - Bay Ridge,Summer 2013,2013-06-01,9.8,mcg/m3,2013,Fine particles (PM 2.5),Bensonhurst - Bay Ridge,Summer
177973,365,Fine particles (PM 2.5),Mean,UHF42,409.0,Southeast Queens,Summer 2013,2013-06-01,9.8,mcg/m3,2013,Fine particles (PM 2.5),Southeast Queens,Summer
177931,365,Fine particles (PM 2.5),Mean,UHF42,409.0,Southeast Queens,Summer 2012,2012-06-01,9.6,mcg/m3,2012,Fine particles (PM 2.5),Southeast Queens,Summer
742274,365,Fine particles (PM 2.5),Mean,UHF42,410.0,Rockaways,Summer 2021,2021-06-01,7.2,mcg/m3,2021,Fine particles (PM 2.5),Rockaways,Summer
178582,365,Fine particles (PM 2.5),Mean,UHF42,209.0,Bensonhurst - Bay Ridge,Annual Average 2013,2012-12-01,8.2,mcg/m3,2013,Fine particles (PM 2.5),Bensonhurst - Bay Ridge,N/A
178583,365,Fine particles (PM 2.5),Mean,UHF42,210.0,Coney Island - Sheepshead Bay,Annual Average 2013,2012-12-01,8.1,mcg/m3,2013,Fine particles (PM 2.5),Coney Island - Sheepshead Bay,N/A
547477,365,Fine particles (PM 2.5),Mean,UHF42,409.0,Southeast Queens,Annual Average 2017,2017-01-01,6.8,mcg/m3,2017,Fine particles (PM 2.5),Southeast Queens,N/A
547417,365,Fine particles (PM 2.5),Mean,UHF42,210.0,Coney Island - Sheepshead Bay,Annual Average 2017,2017-01-01,6.8,mcg/m3,2017,Fine particles (PM 2.5),Coney Island - Sheepshead Bay,N/A
177784,365,Fine particles (PM 2.5),Mean,UHF42,209.0,Bensonhurst - Bay Ridge,Summer 2009,2009-06-01,10.6,mcg/m3,2009,Fine particles (PM 2.5),Bensonhurst - Bay Ridge,Summer
547414,365,Fine particles (PM 2.5),Mean,UHF42,209.0,Bensonhurst - Bay Ridge,Annual Average 2017,2017-01-01,7.1,mcg/m3,2017,Fine particles (PM 2.5),Bensonhurst - Bay Ridge,N/A
130413,640,Boiler Emissions- Total SO2 Emissions,Number per km2,UHF42,210.0,Coney Island - Sheepshead Bay,2013,2013-01-01,0.9,number,2013,Boiler Emissions- Total SO2 Emissions,Coney Island - Sheepshead Bay,N/A
130412,640,Boiler Emissions- Total SO2 Emissions,Number per km2,UHF42,209.0,Bensonhurst - Bay Ridge,2013,2013-01-01,1.7,number,2013,Boiler Emissions- Total SO2 Emissions,Bensonhurst - Bay Ridge,N/A
130434,640,Boiler Emissions- Total SO2 Emissions,Number per km2,UHF42,410.0,Rockaways,2013,2013-01-01,0.0,number,2013,Boiler Emissions- Total SO2 Emissions,Rockaways,N/A
410847,365,Fine particles (PM 2.5),Mean,UHF42,410.0,Rockaways,Summer 2016,2016-06-01,6.9,mcg/m3,2016,Fine particles (PM 2.5),Rockaways,Summer
177889,365,Fine particles (PM 2.5),Mean,UHF42,409.0,Southeast Queens,Summer 2011,2011-06-01,10.8,mcg/m3,2011,Fine particles (PM 2.5),Southeast Queens,Summer
177932,365,Fine particles (PM 2.5),Mean,UHF42,410.0,Rockaways,Summer 2012,2012-06-01,9.4,mcg/m3,2012,Fine particles (PM 2.5),Rockaways,Summer
410782,365,Fine particles (PM 2.5),Mean,UHF42,209.0,Bensonhurst - Bay Ridge,Annual Average 2016,2015-12-31,7.1,mcg/m3,2016,Fine particles (PM 2.5),Bensonhurst - Bay Ridge,N/A
177974,365,Fine particles (PM 2.5),Mean,UHF42,410.0,Rockaways,Summer 2013,2013-06-01,9.5,mcg/m3,2013,Fine particles (PM 2.5),Rockaways,Summer
410848,365,Fine particles (PM 2.5),Mean,UHF42,410.0,Rockaways,Annual Average 2016,2015-12-31,6.0,mcg/m3,2016,Fine particles (PM 2.5),Rockaways,N/A
823218,365,Fine particles (PM 2.5),Mean,UHF42,409.0,Southeast Queens,Winter 2021-22,2021-12-01,6.4,mcg/m3,2021,Fine particles (PM 2.5),Southeast Queens,Winter
176692,375,Nitrogen dioxide (NO2),Mean,UHF42,209.0,Bensonhurst - Bay Ridge,Annual Average 2013,2012-12-01,18.6,ppb,2013,Nitrogen dioxide (NO2),Bensonhurst - Bay Ridge,N/A
549806,375,Nitrogen dioxide (NO2),Mean,UHF42,209.0,Bensonhurst - Bay Ridge,Annual Average 2017,2017-01-01,17.7,ppb,2017,Nitrogen dioxide (NO2),Bensonhurst - Bay Ridge,N/A
175369,375,Nitrogen dioxide (NO2),Mean,UHF42,409.0,Southeast Queens,Winter 2010-11,2010-12-01,25.7,ppb,2010,Nitrogen dioxide (NO2),Southeast Queens,Winter
175915,375,Nitrogen dioxide (NO2),Mean,UHF42,409.0,Southeast Queens,Summer 2009,2009-06-01,16.1,ppb,2009,Nitrogen dioxide (NO2),Southeast Queens,Summer
549872,375,Nitrogen dioxide (NO2),Mean,UHF42,410.0,Rockaways,Annual Average 2017,2017-01-01,12.7,ppb,2017,Nitrogen dioxide (NO2),Rockaways,N/A
741006,375,Nitrogen dioxide (NO2),Mean,UHF42,410.0,Rockaways,Annual Average 2021,2021-01-01,11.4,ppb,2021,Nitrogen dioxide (NO2),Rockaways,N/A
175916,375,Nitrogen dioxide (NO2),Mean,UHF42,410.0,Rockaways,Summer 2009,2009-06-01,8.6,ppb,2009,Nitrogen dioxide (NO2),Rockaways,Summer
336603,375,Nitrogen dioxide (NO2),Mean,UHF42,410.0,Rockaways,Winter 2014-15,2014-12-01,20.7,ppb,2014,Nitrogen dioxide (NO2),Rockaways,Winter
178542,365,Fine particles (PM 2.5),Mean,UHF42,211.0,Williamsburg - Bushwick,Annual Average 2012,2011-12-01,9.7,mcg/m3,2012,Fine particles (PM 2.5),Williamsburg - Bushwick,N/A
177912,365,Fine particles (PM 2.5),Mean,UHF42,211.0,Williamsburg - Bushwick,Summer 2012,2012-06-01,12.3,mcg/m3,2012,Fine particles (PM 2.5),Williamsburg - Bushwick,Summer
177954,365,Fine particles (PM 2.5),Mean,UHF42,211.0,Williamsburg - Bushwick,Summer 2013,2013-06-01,12.2,mcg/m3,2013,Fine particles (PM 2.5),Williamsburg - Bushwick,Summer
334047,365,Fine particles (PM 2.5),Mean,UHF42,404.0,Bayside - Little Neck,Winter 2014-15,2014-12-01,8.8,mcg/m3,2014,Fine particles (PM 2.5),Bayside - Little Neck,Winter
177772,365,Fine particles (PM 2.5),Mean,UHF42,104.0,Pelham - Throgs Neck,Summer 2009,2009-06-01,10.4,mcg/m3,2009,Fine particles (PM 2.5),Pelham - Throgs Neck,Summer
742215,365,Fine particles (PM 2.5),Mean,UHF42,211.0,Williamsburg - Bushwick,Annual Average 2021,2021-01-01,7.2,mcg/m3,2021,Fine particles (PM 2.5),Williamsburg - Bushwick,N/A
742257,365,Fine particles (PM 2.5),Mean,UHF42,404.0,Bayside - Little Neck,Annual Average 2021,2021-01-01,6.3,mcg/m3,2021,Fine particles (PM 2.5),Bayside - Little Neck,N/A
178588,365,Fine particles (PM 2.5),Mean,UHF42,304.0,Upper West Side,Annual Average 2013,2012-12-01,10.4,mcg/m3,2013,Fine particles (PM 2.5),Upper West Side,N/A
177244,365,Fine particles (PM 2.5),Mean,UHF42,304.0,Upper West Side,Winter 2010-11,2010-12-01,14.4,mcg/m3,2010,Fine particles (PM 2.5),Upper West Side,Winter
410828,365,Fine particles (PM 2.5),Mean,UHF42,404.0,Bayside - Little Neck,Winter 2015-16,2015-12-01,7.4,mcg/m3,2015,Fine particles (PM 2.5),Bayside - Little Neck,Winter
177856,365,Fine particles (PM 2.5),Mean,UHF42,104.0,Pelham - Throgs Neck,Summer 2011,2011-06-01,11.5,mcg/m3,2011,Fine particles (PM 2.5),Pelham - Throgs Neck,Summer
823275,365,Fine particles (PM 2.5),Mean,UHF42,211.0,Williamsburg - Bushwick,Winter 2021-22,2021-12-01,7.4,mcg/m3,2021,Fine particles (PM 2.5),Williamsburg - Bushwick,Winter
177916,365,Fine particles (PM 2.5),Mean,UHF42,304.0,Upper West Side,Summer 2012,2012-06-01,11.4,mcg/m3,2012,Fine particles (PM 2.5),Upper West Side,Summer
410800,365,Fine particles (PM 2.5),Mean,UHF42,304.0,Upper West Side,Annual Average 2016,2015-12-31,8.5,mcg/m3,2016,Fine particles (PM 2.5),Upper West Side,N/A
177958,365,Fine particles (PM 2.5),Mean,UHF42,304.0,Upper West Side,Summer 2013,2013-06-01,11.4,mcg/m3,2013,Fine particles (PM 2.5),Upper West Side,Summer
605693,365,Fine particles (PM 2.5),Mean,UHF42,204.0,East New York,Annual Average 2018,2018-01-01,7.1,mcg/m3,2018,Fine particles (PM 2.5),East New York,N/A
742193,365,Fine particles (PM 2.5),Mean,UHF42,204.0,East New York,Summer 2021,2021-06-01,8.3,mcg/m3,2021,Fine particles (PM 2.5),East New York,Summer
177905,365,Fine particles (PM 2.5),Mean,UHF42,204.0,East New York,Summer 2012,2012-06-01,9.7,mcg/m3,2012,Fine particles (PM 2.5),East New York,Summer
175354,375,Nitrogen dioxide (NO2),Mean,UHF42,304.0,Upper West Side,Winter 2010-11,2010-12-01,33.7,ppb,2010,Nitrogen dioxide (NO2),Upper West Side,Winter
176698,375,Nitrogen dioxide (NO2),Mean,UHF42,304.0,Upper West Side,Annual Average 2013,2012-12-01,26.5,ppb,2013,Nitrogen dioxide (NO2),Upper West Side,N/A
175364,375,Nitrogen dioxide (NO2),Mean,UHF42,404.0,Bayside - Little Neck,Winter 2010-11,2010-12-01,26.2,ppb,2010,Nitrogen dioxide (NO2),Bayside - Little Neck,Winter
175896,375,Nitrogen dioxide (NO2),Mean,UHF42,211.0,Williamsburg - Bushwick,Summer 2009,2009-06-01,23.1,ppb,2009,Nitrogen dioxide (NO2),Williamsburg - Bushwick,Summer
