unique_id,indicator_id,name,measure,geo_type_name,geo_join_id,geo_place_name,time_period,start_date,data_value,measure_unit,year,indicator_name,location,season
817061,644,Annual vehicle miles traveled (cars),Million miles,CD,302.0,Fort Greene and Brooklyn Heights (CD2),2010,2010-01-01,99.8,per square mile,2010,Annual vehicle miles traveled (cars),Fort Greene and Brooklyn Heights (CD2),
816980,644,Annual vehicle miles traveled (cars),Million miles,UHF42,310.0,Lower Manhattan,2019,2019-01-01,102.6,per square mile,2019,Annual vehicle miles traveled (cars),Lower Manhattan,
817021,644,Annual vehicle miles traveled (cars),Million miles,CD,106.0,Stuyvesant Town and Turtle Bay (CD6),2010,2010-01-01,164.7,per square mile,2010,Annual vehicle miles traveled (cars),Stuyvesant Town and Turtle Bay (CD6),
817073,644,Annual vehicle miles traveled (cars),Million miles,CD,308.0,Crown Heights and Prospect Heights (CD8),2010,2010-01-01,61.6,per square mile,2010,Annual vehicle miles traveled (cars),Crown Heights and Prospect Heights (CD8),
816985,644,Annual vehicle miles traveled (cars),Million miles,UHF42,403.0,Flushing - Clearview,2010,2010-01-01,49.6,per square mile,2010,Annual vehicle miles traveled (cars),Flushing - Clearview,
816986,644,Annual vehicle miles traveled (cars),Million miles,UHF42,403.0,Flushing - Clearview,2019,2019-01-01,37.6,per square mile,2019,Annual vehicle miles traveled (cars),Flushing - Clearview,
816969,644,Annual vehicle miles traveled (cars),Million miles,UHF42,305.0,Upper East Side,2010,2010-01-01,117.0,per square mile,2010,Annual vehicle miles traveled (cars),Upper East Side,
816966,644,Annual vehicle miles traveled (cars),Million miles,UHF42,303.0,East Harlem,2019,2019-01-01,135.8,per square mile,2019,Annual vehicle miles traveled (cars),East Harlem,
816927,644,Annual vehicle miles traveled (cars),Million miles,UHF42,102.0,Northeast Bronx,2010,2010-01-01,38.9,per square mile,2010,Annual vehicle miles traveled (cars),Northeast Bronx,
816963,644,Annual vehicle miles traveled (cars),Million miles,UHF42,302.0,Central Harlem - Morningside Heights,2010,2010-01-01,90.7,per square mile,2010,Annual vehicle miles traveled (cars),Central Harlem - Morningside Heights,
816964,644,Annual vehicle miles traveled (cars),Million miles,UHF42,302.0,Central Harlem - Morningside Heights,2019,2019-01-01,100.7,per square mile,2019,Annual vehicle miles traveled (cars),Central Harlem - Morningside Heights,
