unique_id,indicator_id,name,measure,geo_type_name,geo_join_id,geo_place_name,time_period,start_date,data_value,measure_unit,year,indicator_name,location,season
816717,643,Annual vehicle miles traveled,Million miles,CD,413.0,Queens Village (CD13),2010,2010-01-01,77.2,per square mile,2010,Annual vehicle miles traveled,Queens Village (CD13),
151637,643,Annual vehicle miles traveled,Million miles,UHF42,208.0,Canarsie - Flatlands,2005,2005-01-01,35.7,per square mile,2005,Annual vehicle miles traveled,Canarsie - Flatlands,
151647,643,Annual vehicle miles traveled,Million miles,UHF42,307.0,Gramercy Park - Murray Hill,2005,2005-01-01,185.6,per square mile,2005,Annual vehicle miles traveled,Gramercy Park - Murray Hill,
816762,643,Annual vehicle miles traveled,Million miles,CD,303.0,Bedford Stuyvesant (CD3),2010,2010-01-01,55.9,per square mile,2010,Annual vehicle miles traveled,Bedford Stuyvesant (CD3),
154605,643,Annual vehicle miles traveled,Million miles,CD,404.0,Elmhurst and Corona (CD4),2005,2005-01-01,78.0,per square mile,2005,Annual vehicle miles traveled,Elmhurst and Corona (CD4),
154586,643,Annual vehicle miles traveled,Million miles,CD,303.0,Bedford Stuyvesant (CD3),2005,2005-01-01,69.4,per square mile,2005,Annual vehicle miles traveled,Bedford Stuyvesant (CD3),
154562,643,Annual vehicle miles traveled,Million miles,CD,103.0,Lower East Side and Chinatown (CD3),2005,2005-01-01,134.8,per square mile,2005,Annual vehicle miles traveled,Lower East Side and Chinatown (CD3),
151629,643,Annual vehicle miles traveled,Million miles,UHF42,107.0,Hunts Point - Mott Haven,2005,2005-01-01,42.7,per square mile,2005,Annual vehicle miles traveled,Hunts Point - Mott Haven,
816757,643,Annual vehicle miles traveled,Million miles,CD,305.0,East New York and Starrett City (CD5),2019,2019-01-01,58.1,per square mile,2019,Annual vehicle miles traveled,East New York and Starrett City (CD5),
816758,643,Annual vehicle miles traveled,Million miles,CD,305.0,East New York and Starrett City (CD5),2010,2010-01-01,51.1,per square mile,2010,Annual vehicle miles traveled,East New York and Starrett City (CD5),
816805,643,Annual vehicle miles traveled,Million miles,CD,105.0,Midtown (CD5),2019,2019-01-01,94.8,per square mile,2019,Annual vehicle miles traveled,Midtown (CD5),
816806,643,Annual vehicle miles traveled,Million miles,CD,105.0,Midtown (CD5),2010,2010-01-01,80.6,per square mile,2010,Annual vehicle miles traveled,Midtown (CD5),
