unique_id,indicator_id,name,measure,geo_type_name,geo_join_id,geo_place_name,time_period,start_date,data_value,measure_unit,year,indicator_name,location,season
817150,645,Annual vehicle miles traveled (trucks),Million miles,UHF42,106.0,High Bridge - Morrisania,2019,2019-01-01,9.0,per square mile,2019,Annual vehicle miles traveled (trucks),High Bridge - Morrisania,
817211,645,Annual vehicle miles traveled (trucks),Million miles,UHF42,409.0,Southeast Queens,2010,2010-01-01,1.6,per square mile,2010,Annual vehicle miles traveled (trucks),Southeast Queens,
817199,645,Annual vehicle miles traveled (trucks),Million miles,UHF42,403.0,Flushing - Clearview,2010,2010-01-01,2.5,per square mile,2010,Annual vehicle miles traveled (trucks),Flushing - Clearview,
817140,645,Annual vehicle miles traveled (trucks),Million miles,UHF42,101.0,Kingsbridge - Riverdale,2019,2019-01-01,5.0,per square mile,2019,Annual vehicle miles traveled (trucks),Kingsbridge - Riverdale,
817195,645,Annual vehicle miles traveled (trucks),Million miles,UHF42,401.0,Long Island City - Astoria,2010,2010-01-01,2.9,per square mile,2010,Annual vehicle miles traveled (trucks),Long Island City - Astoria,
817196,645,Annual vehicle miles traveled (trucks),Million miles,UHF42,401.0,Long Island City - Astoria,2019,2019-01-01,4.2,per square mile,2019,Annual vehicle miles traveled (trucks),Long Island City - Astoria,
817239,645,Annual vehicle miles traveled (trucks),Million miles,CD,108.0,Upper East Side (CD8),2010,2010-01-01,5.5,per square mile,2010,Annual vehicle miles traveled (trucks),Upper East Side (CD8),
817243,645,Annual vehicle miles traveled (trucks),Million miles,CD,110.0,Central Harlem (CD10),2010,2010-01-01,1.3,per square mile,2010,Annual vehicle miles traveled (trucks),Central Harlem (CD10),
817248,645,Annual vehicle miles traveled (trucks),Million miles,CD,112.0,Washington Heights and Inwood (CD12),2019,2019-01-01,8.5,per square mile,2019,Annual vehicle miles traveled (trucks),Washington Heights and Inwood (CD12),
817292,645,Annual vehicle miles traveled (trucks),Million miles,CD,310.0,Bay Ridge and Dyker Heights (CD10),2019,2019-01-01,4.9,per square mile,2019,Annual vehicle miles traveled (trucks),Bay Ridge and Dyker Heights (CD10),
817291,645,Annual vehicle miles traveled (trucks),Million miles,CD,310.0,Bay Ridge and Dyker Heights (CD10),2010,2010-01-01,3.7,per square mile,2010,Annual vehicle miles traveled (trucks),Bay Ridge and Dyker Heights (CD10),
817296,645,Annual vehicle miles traveled (trucks),Million miles,CD,312.0,Borough Park (CD12),2019,2019-01-01,1.8,per square mile,2019,Annual vehicle miles traveled (trucks),Borough Park (CD12),
817200,645,Annual vehicle miles traveled (trucks),Million miles,UHF42,403.0,Flushing - Clearview,2019,2019-01-01,3.4,per square mile,2019,Annual vehicle miles traveled (trucks),Flushing - Clearview,
817235,645,Annual vehicle miles traveled (trucks),Million miles,CD,106.0,Stuyvesant Town and Turtle Bay (CD6),2010,2010-01-01,4.3,per square mile,2010,Annual vehicle miles traveled (trucks),Stuyvesant Town and Turtle Bay (CD6),
817319,645,Annual vehicle miles traveled (trucks),Million miles,CD,406.0,Rego Park and Forest Hills (CD6),2010,2010-01-01,3.7,per square mile,2010,Annual vehicle miles traveled (trucks),Rego Park and Forest Hills (CD6),
817320,645,Annual vehicle miles traveled (trucks),Million miles,CD,406.0,Rego Park and Forest Hills (CD6),2019,2019-01-01,4.3,per square mile,2019,Annual vehicle miles traveled (trucks),Rego Park and Forest Hills (CD6),
817203,645,Annual vehicle miles traveled (trucks),Million miles,UHF42,405.0,Ridgewood - Forest Hills,2010,2010-01-01,1.4,per square mile,2010,Annual vehicle miles traveled (trucks),Ridgewood - Forest Hills,
