unique_id,indicator_id,name,measure,geo_type_name,geo_join_id,geo_place_name,time_period,start_date,data_value,measure_unit,year,indicator_name,location,season
131425,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),UHF42,208.0,Canarsie - Flatlands,2009-2011,2009-01-01,81.7,"per 100,000 children",2009,Asthma emergency department visits due to PM2.5,Canarsie - Flatlands,
131445,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),UHF42,407.0,Southwest Queens,2009-2011,2009-01-01,80.0,"per 100,000 children",2009,Asthma emergency department visits due to PM2.5,Southwest Queens,
131424,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),UHF42,207.0,East Flatbush - Flatbush,2009-2011,2009-01-01,115.8,"per 100,000 children",2009,Asthma emergency department visits due to PM2.5,East Flatbush - Flatbush,
628472,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),UHF42,408.0,Jamaica,2015-2017,2015-01-01,69.6,"per 100,000 children",2015,Asthma emergency department visits due to PM2.5,Jamaica,
628471,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),UHF42,407.0,Southwest Queens,2015-2017,2015-01-01,43.0,"per 100,000 children",2015,Asthma emergency department visits due to PM2.5,Southwest Queens,
628455,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),UHF42,301.0,Washington Heights,2015-2017,2015-01-01,81.6,"per 100,000 children",2015,Asthma emergency department visits due to PM2.5,Washington Heights,
518919,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),UHF42,404.0,Bayside - Little Neck,2012-2014,2012-01-02,13.4,"per 100,000 children",2012,Asthma emergency department visits due to PM2.5,Bayside - Little Neck,
131442,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),UHF42,404.0,Bayside - Little Neck,2009-2011,2009-01-01,22.1,"per 100,000 children",2009,Asthma emergency department visits due to PM2.5,Bayside - Little Neck,
518925,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),UHF42,410.0,Rockaways,2012-2014,2012-01-02,57.9,"per 100,000 children",2012,Asthma emergency department visits due to PM2.5,Rockaways,
628473,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),UHF42,409.0,Southeast Queens,2015-2017,2015-01-01,39.5,"per 100,000 children",2015,Asthma emergency department visits due to PM2.5,Southeast Queens,
131438,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),UHF42,310.0,Lower Manhattan,2009-2011,2009-01-01,57.2,"per 100,000 children",2009,Asthma emergency department visits due to PM2.5,Lower Manhattan,
131456,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),Borough,3.0,Manhattan,2009-2011,2009-01-01,144.3,"per 100,000 children",2009,Asthma emergency department visits due to PM2.5,Manhattan,
130823,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),UHF42,409.0,Southeast Queens,2005-2007,2005-01-01,73.8,"per 100,000 children",2005,Asthma emergency department visits due to PM2.5,Southeast Queens,
518904,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),UHF42,210.0,Coney Island - Sheepshead Bay,2012-2014,2012-01-02,29.4,"per 100,000 children",2012,Asthma emergency department visits due to PM2.5,Coney Island - Sheepshead Bay,
628460,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),UHF42,306.0,Chelsea - Clinton,2015-2017,2015-01-01,53.6,"per 100,000 children",2015,Asthma emergency department visits due to PM2.5,Chelsea - Clinton,
131434,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),UHF42,306.0,Chelsea - Clinton,2009-2011,2009-01-01,88.6,"per 100,000 children",2009,Asthma emergency department visits due to PM2.5,Chelsea - Clinton,
131419,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),UHF42,202.0,Downtown - Heights - Slope,2009-2011,2009-01-01,89.1,"per 100,000 children",2009,Asthma emergency department visits due to PM2.5,Downtown - Heights - Slope,
628509,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),UHF42,307.0,Gramercy Park - Murray Hill,2015-2017,2015-01-01,16.5,"per 100,000 adults",2015,Asthma emergency department visits due to PM2.5,Gramercy Park - Murray Hill,
518961,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),UHF42,308.0,Greenwich Village - SoHo,2012-2014,2012-01-02,7.2,"per 100,000 adults",2012,Asthma emergency department visits due to PM2.5,Greenwich Village - SoHo,
131376,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),UHF42,207.0,East Flatbush - Flatbush,2009-2011,2009-01-01,57.9,"per 100,000 adults",2009,Asthma emergency department visits due to PM2.5,East Flatbush - Flatbush,
131369,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),UHF42,107.0,Hunts Point - Mott Haven,2009-2011,2009-01-01,138.1,"per 100,000 adults",2009,Asthma emergency department visits due to PM2.5,Hunts Point - Mott Haven,
827393,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),UHF42,407.0,Southwest Queens,2017-2019,2017-01-01,16.0,"per 100,000 adults",2017,Asthma emergency department visits due to PM2.5,Southwest Queens,
628499,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),UHF42,208.0,Canarsie - Flatlands,2015-2017,2015-01-01,31.4,"per 100,000 adults",2015,Asthma emergency department visits due to PM2.5,Canarsie - Flatlands,
628481,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),Borough,2.0,Brooklyn,2015-2017,2015-01-01,34.9,"per 100,000 adults",2015,Asthma emergency department visits due to PM2.5,Brooklyn,
