unique_id,indicator_id,name,measure,geo_type_name,geo_join_id,geo_place_name,time_period,start_date,data_value,measure_unit,year,indicator_name,location,season
628936,659,Asthma emergency departments visits due to Ozone,Estimated annual rate (age 18+),UHF42,302.0,Central Harlem - Morningside Heights,2015-2017,2015-01-01,121.4,"per 100,000 adults",2015,Asthma emergency departments visits due to Ozone,Central Harlem - Morningside Heights,
628895,653,Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),UHF42,309.0,Union Square - Lower East Side,2015-2017,2015-01-01,124.9,"per 100,000 children",2015,Asthma emergency departments visits due to Ozone,Union Square - Lower East Side,
518540,653,Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),UHF42,409.0,Southeast Queens,2012-2014,2012-01-02,83.8,"per 100,000 children",2012,Asthma emergency departments visits due to Ozone,Southeast Queens,
628905,653,Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),UHF42,409.0,Southeast Queens,2015-2017,2015-01-01,60.1,"per 100,000 children",2015,Asthma emergency departments visits due to Ozone,Southeast Queens,
628884,653,Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),UHF42,209.0,Bensonhurst - Bay Ridge,2015-2017,2015-01-01,25.9,"per 100,000 children",2015,Asthma emergency departments visits due to Ozone,Bensonhurst - Bay Ridge,
628896,653,Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),UHF42,310.0,Lower Manhattan,2015-2017,2015-01-01,47.4,"per 100,000 children",2015,Asthma emergency departments visits due to Ozone,Lower Manhattan,
518542,653,Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),UHF42,501.0,Port Richmond,2012-2014,2012-01-02,109.6,"per 100,000 children",2012,Asthma emergency departments visits due to Ozone,Port Richmond,
518522,653,Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),UHF42,301.0,Washington Heights,2012-2014,2012-01-02,126.2,"per 100,000 children",2012,Asthma emergency departments visits due to Ozone,Washington Heights,
518534,653,Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),UHF42,403.0,Flushing - Clearview,2012-2014,2012-01-02,39.2,"per 100,000 children",2012,Asthma emergency departments visits due to Ozone,Flushing - Clearview,
628901,653,Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),UHF42,405.0,Ridgewood - Forest Hills,2015-2017,2015-01-01,43.3,"per 100,000 children",2015,Asthma emergency departments visits due to Ozone,Ridgewood - Forest Hills,
628873,653,Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),UHF42,105.0,Crotona -Tremont,2015-2017,2015-01-01,199.6,"per 100,000 children",2015,Asthma emergency departments visits due to Ozone,Crotona -Tremont,
518524,653,Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),UHF42,303.0,East Harlem,2012-2014,2012-01-02,261.6,"per 100,000 children",2012,Asthma emergency departments visits due to Ozone,East Harlem,
518535,653,Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),UHF42,404.0,Bayside - Little Neck,2012-2014,2012-01-02,19.5,"per 100,000 children",2012,Asthma emergency departments visits due to Ozone,Bayside - Little Neck,
518537,653,Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),UHF42,406.0,Fresh Meadows,2012-2014,2012-01-02,57.7,"per 100,000 children",2012,Asthma emergency departments visits due to Ozone,Fresh Meadows,
628945,659,Asthma emergency departments visits due to Ozone,Estimated annual rate (age 18+),UHF42,401.0,Long Island City - Astoria,2015-2017,2015-01-01,28.7,"per 100,000 adults",2015,Asthma emergency departments visits due to Ozone,Long Island City - Astoria,
518583,659,Asthma emergency departments visits due to Ozone,Estimated annual rate (age 18+),UHF42,404.0,Bayside - Little Neck,2012-2014,2012-01-02,9.8,"per 100,000 adults",2012,Asthma emergency departments visits due to Ozone,Bayside - Little Neck,
628938,659,Asthma emergency departments visits due to Ozone,Estimated annual rate (age 18+),UHF42,304.0,Upper West Side,2015-2017,2015-01-01,30.6,"per 100,000 adults",2015,Asthma emergency departments visits due to Ozone,Upper West Side,
628927,659,Asthma emergency departments visits due to Ozone,Estimated annual rate (age 18+),UHF42,204.0,East New York,2015-2017,2015-01-01,107.8,"per 100,000 adults",2015,Asthma emergency departments visits due to Ozone,East New York,
518549,659,Asthma emergency departments visits due to Ozone,Estimated annual rate (age 18+),Borough,3.0,Manhattan,2012-2014,2012-01-02,46.5,"per 100,000 adults",2012,Asthma emergency departments visits due to Ozone,Manhattan,
518578,659,Asthma emergency departments visits due to Ozone,Estimated annual rate (age 18+),UHF42,309.0,Union Square - Lower East Side,2012-2014,2012-01-02,40.9,"per 100,000 adults",2012,Asthma emergency departments visits due to Ozone,Union Square - Lower East Side,
