unique_id,indicator_id,name,measure,geo_type_name,geo_join_id,geo_place_name,time_period,start_date,data_value,measure_unit,year,indicator_name,location,season
828090,661,Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),UHF42,402.0,West Queens,2017-2019,2017-01-01,2.0,"per 100,000 adults",2017,Asthma hospitalizations due to Ozone,West Queens,
828059,661,Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),Borough,4.0,Queens,2017-2019,2017-01-01,2.0,"per 100,000 adults",2017,Asthma hospitalizations due to Ozone,Queens,
131323,661,Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),UHF42,202.0,Downtown - Heights - Slope,2005-2007,2005-01-01,7.9,"per 100,000 adults",2005,Asthma hospitalizations due to Ozone,Downtown - Heights - Slope,
131334,661,Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),UHF42,302.0,Central Harlem - Morningside Heights,2005-2007,2005-01-01,13.1,"per 100,000 adults",2005,Asthma hospitalizations due to Ozone,Central Harlem - Morningside Heights,
131316,661,Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),UHF42,102.0,Northeast Bronx,2005-2007,2005-01-01,9.0,"per 100,000 adults",2005,Asthma hospitalizations due to Ozone,Northeast Bronx,
131331,661,Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),UHF42,210.0,Coney Island - Sheepshead Bay,2005-2007,2005-01-01,5.9,"per 100,000 adults",2005,Asthma hospitalizations due to Ozone,Coney Island - Sheepshead Bay,
131352,661,Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),UHF42,410.0,Rockaways,2005-2007,2005-01-01,9.4,"per 100,000 adults",2005,Asthma hospitalizations due to Ozone,Rockaways,
828077,661,Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),UHF42,210.0,Coney Island - Sheepshead Bay,2017-2019,2017-01-01,2.0,"per 100,000 adults",2017,Asthma hospitalizations due to Ozone,Coney Island - Sheepshead Bay,
131351,661,Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),UHF42,409.0,Southeast Queens,2005-2007,2005-01-01,4.8,"per 100,000 adults",2005,Asthma hospitalizations due to Ozone,Southeast Queens,
828097,661,Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),UHF42,409.0,Southeast Queens,2017-2019,2017-01-01,1.0,"per 100,000 adults",2017,Asthma hospitalizations due to Ozone,Southeast Queens,
828071,661,Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),UHF42,204.0,East New York,2017-2019,2017-01-01,3.0,"per 100,000 adults",2017,Asthma hospitalizations due to Ozone,East New York,
828064,661,Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),UHF42,104.0,Pelham - Throgs Neck,2017-2019,2017-01-01,5.0,"per 100,000 adults",2017,Asthma hospitalizations due to Ozone,Pelham - Throgs Neck,
828082,661,Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),UHF42,304.0,Upper West Side,2017-2019,2017-01-01,1.0,"per 100,000 adults",2017,Asthma hospitalizations due to Ozone,Upper West Side,
131326,661,Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),UHF42,205.0,Sunset Park,2005-2007,2005-01-01,6.4,"per 100,000 adults",2005,Asthma hospitalizations due to Ozone,Sunset Park,
828068,661,Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),UHF42,201.0,Greenpoint,2017-2019,2017-01-01,1.0,"per 100,000 adults",2017,Asthma hospitalizations due to Ozone,Greenpoint,
151583,661,Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),UHF42,202.0,Downtown - Heights - Slope,2009-2011,2009-01-01,6.6,"per 100,000 adults",2009,Asthma hospitalizations due to Ozone,Downtown - Heights - Slope,
151594,661,Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),UHF42,302.0,Central Harlem - Morningside Heights,2009-2011,2009-01-01,10.3,"per 100,000 adults",2009,Asthma hospitalizations due to Ozone,Central Harlem - Morningside Heights,
151601,661,Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),UHF42,309.0,Union Square - Lower East Side,2009-2011,2009-01-01,5.6,"per 100,000 adults",2009,Asthma hospitalizations due to Ozone,Union Square - Lower East Side,
828086,661,Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),UHF42,308.0,Greenwich Village - SoHo,2017-2019,2017-01-01,0.0,"per 100,000 adults",2017,Asthma hospitalizations due to Ozone,Greenwich Village - SoHo,
131358,661,Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),Borough,1.0,Bronx,2005-2007,2005-01-01,13.4,"per 100,000 adults",2005,Asthma hospitalizations due to Ozone,Bronx,
131359,661,Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),Borough,2.0,Brooklyn,2005-2007,2005-01-01,8.0,"per 100,000 adults",2005,Asthma hospitalizations due to Ozone,Brooklyn,
151578,661,Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),UHF42,104.0,Pelham - Throgs Neck,2009-2011,2009-01-01,11.7,"per 100,000 adults",2009,Asthma hospitalizations due to Ozone,Pelham - Throgs Neck,
151622,661,Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),Borough,5.0,Staten Island,2009-2011,2009-01-01,6.8,"per 100,000 adults",2009,Asthma hospitalizations due to Ozone,Staten Island,
