unique_id,indicator_id,name,measure,geo_type_name,geo_join_id,geo_place_name,time_period,start_date,data_value,measure_unit,year,indicator_name,location,season
179743,642,Boiler Emissions- Total NOx Emissions,Number per km2,UHF42,102.0,Northeast Bronx,2015,2015-01-01,33.3,number,2015,Boiler Emissions- Total NOx Emissions,Northeast Bronx,
179758,642,Boiler Emissions- Total NOx Emissions,Number per km2,UHF42,305.0,Upper East Side,2015,2015-01-01,225.9,number,2015,Boiler Emissions- Total NOx Emissions,Upper East Side,
179740,642,Boiler Emissions- Total NOx Emissions,Number per km2,UHF42,203.0,Bedford Stuyvesant - Crown Heights,2015,2015-01-01,31.9,number,2015,Boiler Emissions- Total NOx Emissions,Bedford Stuyvesant - Crown Heights,
179725,642,Boiler Emissions- Total NOx Emissions,Number per km2,UHF42,404.0,Bayside - Little Neck,2015,2015-01-01,9.8,number,2015,Boiler Emissions- Total NOx Emissions,Bayside - Little Neck,
179757,642,Boiler Emissions- Total NOx Emissions,Number per km2,UHF42,304.0,Upper West Side,2015,2015-01-01,210.5,number,2015,Boiler Emissions- Total NOx Emissions,Upper West Side,
179724,642,Boiler Emissions- Total NOx Emissions,Number per km2,UHF42,409.0,Southeast Queens,2015,2015-01-01,8.1,number,2015,Boiler Emissions- Total NOx Emissions,Southeast Queens,
179754,642,Boiler Emissions- Total NOx Emissions,Number per km2,UHF42,309.0,Union Square - Lower East Side,2015,2015-01-01,117.5,number,2015,Boiler Emissions- Total NOx Emissions,Union Square - Lower East Side,
179753,642,Boiler Emissions- Total NOx Emissions,Number per km2,UHF42,310.0,Lower Manhattan,2015,2015-01-01,114.9,number,2015,Boiler Emissions- Total NOx Emissions,Lower Manhattan,
179765,642,Boiler Emissions- Total NOx Emissions,Number per km2,Borough,5.0,Staten Island,2015,2015-01-01,2.7,number,2015,Boiler Emissions- Total NOx Emissions,Staten Island,
179738,642,Boiler Emissions- Total NOx Emissions,Number per km2,UHF42,211.0,Williamsburg - Bushwick,2015,2015-01-01,27.8,number,2015,Boiler Emissions- Total NOx Emissions,Williamsburg - Bushwick,
179723,642,Boiler Emissions- Total NOx Emissions,Number per km2,UHF42,208.0,Canarsie - Flatlands,2015,2015-01-01,6.6,number,2015,Boiler Emissions- Total NOx Emissions,Canarsie - Flatlands,
179742,642,Boiler Emissions- Total NOx Emissions,Number per km2,UHF42,207.0,East Flatbush - Flatbush,2015,2015-01-01,33.2,number,2015,Boiler Emissions- Total NOx Emissions,East Flatbush - Flatbush,
179759,642,Boiler Emissions- Total NOx Emissions,Number per km2,UHF42,307.0,Gramercy Park - Murray Hill,2015,2015-01-01,256.2,number,2015,Boiler Emissions- Total NOx Emissions,Gramercy Park - Murray Hill,
179755,642,Boiler Emissions- Total NOx Emissions,Number per km2,UHF42,308.0,Greenwich Village - SoHo,2015,2015-01-01,121.3,number,2015,Boiler Emissions- Total NOx Emissions,Greenwich Village - SoHo,
179763,642,Boiler Emissions- Total NOx Emissions,Number per km2,Borough,1.0,Bronx,2015,2015-01-01,39.5,number,2015,Boiler Emissions- Total NOx Emissions,Bronx,
179722,642,Boiler Emissions- Total NOx Emissions,Number per km2,UHF42,410.0,Rockaways,2015,2015-01-01,6.1,number,2015,Boiler Emissions- Total NOx Emissions,Rockaways,
179750,642,Boiler Emissions- Total NOx Emissions,Number per km2,UHF42,106.0,High Bridge - Morrisania,2015,2015-01-01,72.2,number,2015,Boiler Emissions- Total NOx Emissions,High Bridge - Morrisania,
179734,642,Boiler Emissions- Total NOx Emissions,Number per km2,UHF42,210.0,Coney Island - Sheepshead Bay,2015,2015-01-01,23.5,number,2015,Boiler Emissions- Total NOx Emissions,Coney Island - Sheepshead Bay,
179737,642,Boiler Emissions- Total NOx Emissions,Number per km2,UHF42,209.0,Bensonhurst - Bay Ridge,2015,2015-01-01,26.1,number,2015,Boiler Emissions- Total NOx Emissions,Bensonhurst - Bay Ridge,
179761,642,Boiler Emissions- Total NOx Emissions,Number per km2,Borough,3.0,Manhattan,2015,2015-01-01,142.8,number,2015,Boiler Emissions- Total NOx Emissions,Manhattan,
179747,642,Boiler Emissions- Total NOx Emissions,Number per km2,UHF42,303.0,East Harlem,2015,2015-01-01,50.1,number,2015,Boiler Emissions- Total NOx Emissions,East Harlem,
179727,642,Boiler Emissions- Total NOx Emissions,Number per km2,UHF42,205.0,Sunset Park,2015,2015-01-01,13.9,number,2015,Boiler Emissions- Total NOx Emissions,Sunset Park,
179733,642,Boiler Emissions- Total NOx Emissions,Number per km2,UHF42,405.0,Ridgewood - Forest Hills,2015,2015-01-01,22.5,number,2015,Boiler Emissions- Total NOx Emissions,Ridgewood - Forest Hills,
179746,642,Boiler Emissions- Total NOx Emissions,Number per km2,UHF42,101.0,Kingsbridge - Riverdale,2015,2015-01-01,35.8,number,2015,Boiler Emissions- Total NOx Emissions,Kingsbridge - Riverdale,
179732,642,Boiler Emissions- Total NOx Emissions,Number per km2,UHF42,201.0,Greenpoint,2015,2015-01-01,18.8,number,2015,Boiler Emissions- Total NOx Emissions,Greenpoint,
179752,642,Boiler Emissions- Total NOx Emissions,Number per km2,UHF42,301.0,Washington Heights,2015,2015-01-01,100.6,number,2015,Boiler Emissions- Total NOx Emissions,Washington Heights,
179739,642,Boiler Emissions- Total NOx Emissions,Number per km2,UHF42,401.0,Long Island City - Astoria,2015,2015-01-01,29.3,number,2015,Boiler Emissions- Total NOx Emissions,Long Island City - Astoria,
179720,642,Boiler Emissions- Total NOx Emissions,Number per km2,UHF42,501.0,Port Richmond,2015,2015-01-01,2.8,number,2015,Boiler Emissions- Total NOx Emissions,Port Richmond,
179719,642,Boiler Emissions- Total NOx Emissions,Number per km2,UHF42,503.0,Willowbrook,2015,2015-01-01,2.1,number,2015,Boiler Emissions- Total NOx Emissions,Willowbrook,
179748,642,Boiler Emissions- Total NOx Emissions,Number per km2,UHF42,105.0,Crotona -Tremont,2015,2015-01-01,56.0,number,2015,Boiler Emissions- Total NOx Emissions,Crotona -Tremont,
179749,642,Boiler Emissions- Total NOx Emissions,Number per km2,UHF42,103.0,Fordham - Bronx Pk,2015,2015-01-01,65.0,number,2015,Boiler Emissions- Total NOx Emissions,Fordham - Bronx Pk,
179735,642,Boiler Emissions- Total NOx Emissions,Number per km2,UHF42,104.0,Pelham - Throgs Neck,2015,2015-01-01,23.6,number,2015,Boiler Emissions- Total NOx Emissions,Pelham - Throgs Neck,
179730,642,Boiler Emissions- Total NOx Emissions,Number per km2,UHF42,204.0,East New York,2015,2015-01-01,14.7,number,2015,Boiler Emissions- Total NOx Emissions,East New York,
179718,642,Boiler Emissions- Total NOx Emissions,Number per km2,UHF42,504.0,South Beach - Tottenville,2015,2015-01-01,2.0,number,2015,Boiler Emissions- Total NOx Emissions,South Beach - Tottenville,
179726,642,Boiler Emissions- Total NOx Emissions,Number per km2,UHF42,408.0,Jamaica,2015,2015-01-01,13.1,number,2015,Boiler Emissions- Total NOx Emissions,Jamaica,
179744,642,Boiler Emissions- Total NOx Emissions,Number per km2,UHF42,206.0,Borough Park,2015,2015-01-01,34.4,number,2015,Boiler Emissions- Total NOx Emissions,Borough Park,
179751,642,Boiler Emissions- Total NOx Emissions,Number per km2,UHF42,302.0,Central Harlem - Morningside Heights,2015,2015-01-01,77.8,number,2015,Boiler Emissions- Total NOx Emissions,Central Harlem - Morningside Heights,
179756,642,Boiler Emissions- Total NOx Emissions,Number per km2,UHF42,306.0,Chelsea - Clinton,2015,2015-01-01,181.5,number,2015,Boiler Emissions- Total NOx Emissions,Chelsea - Clinton,
179741,642,Boiler Emissions- Total NOx Emissions,Number per km2,UHF42,202.0,Downtown - Heights - Slope,2015,2015-01-01,32.5,number,2015,Boiler Emissions- Total NOx Emissions,Downtown - Heights - Slope,
179729,642,Boiler Emissions- Total NOx Emissions,Number per km2,UHF42,406.0,Fresh Meadows,2015,2015-01-01,14.3,number,2015,Boiler Emissions- Total NOx Emissions,Fresh Meadows,
179731,642,Boiler Emissions- Total NOx Emissions,Number per km2,UHF42,403.0,Flushing - Clearview,2015,2015-01-01,17.0,number,2015,Boiler Emissions- Total NOx Emissions,Flushing - Clearview,
179736,642,Boiler Emissions- Total NOx Emissions,Number per km2,UHF42,402.0,West Queens,2015,2015-01-01,23.7,number,2015,Boiler Emissions- Total NOx Emissions,West Queens,
179721,642,Boiler Emissions- Total NOx Emissions,Number per km2,UHF42,502.0,Stapleton - St. George,2015,2015-01-01,4.6,number,2015,Boiler Emissions- Total NOx Emissions,Stapleton - St. George,
179764,642,Boiler Emissions- Total NOx Emissions,Number per km2,Borough,4.0,Queens,2015,2015-01-01,15.6,number,2015,Boiler Emissions- Total NOx Emissions,Queens,
