unique_id,indicator_id,name,measure,geo_type_name,geo_join_id,geo_place_name,time_period,start_date,data_value,measure_unit,year,indicator_name,location,season
179835,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,UHF42,401.0,Long Island City - Astoria,2015,2015-01-01,0.7,number,2015,Boiler Emissions- Total PM2.5 Emissions,Long Island City - Astoria,
179857,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,Borough,3.0,Manhattan,2015,2015-01-01,3.7,number,2015,Boiler Emissions- Total PM2.5 Emissions,Manhattan,
179854,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,UHF42,305.0,Upper East Side,2015,2015-01-01,5.7,number,2015,Boiler Emissions- Total PM2.5 Emissions,Upper East Side,
179827,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,UHF42,403.0,Flushing - Clearview,2015,2015-01-01,0.4,number,2015,Boiler Emissions- Total PM2.5 Emissions,Flushing - Clearview,
179820,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,UHF42,409.0,Southeast Queens,2015,2015-01-01,0.0,number,2015,Boiler Emissions- Total PM2.5 Emissions,Southeast Queens,
179849,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,UHF42,310.0,Lower Manhattan,2015,2015-01-01,1.2,number,2015,Boiler Emissions- Total PM2.5 Emissions,Lower Manhattan,
179861,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,Borough,5.0,Staten Island,2015,2015-01-01,0.0,number,2015,Boiler Emissions- Total PM2.5 Emissions,Staten Island,
179829,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,UHF42,405.0,Ridgewood - Forest Hills,2015,2015-01-01,0.2,number,2015,Boiler Emissions- Total PM2.5 Emissions,Ridgewood - Forest Hills,
179838,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,UHF42,207.0,East Flatbush - Flatbush,2015,2015-01-01,0.2,number,2015,Boiler Emissions- Total PM2.5 Emissions,East Flatbush - Flatbush,
179855,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,UHF42,307.0,Gramercy Park - Murray Hill,2015,2015-01-01,5.5,number,2015,Boiler Emissions- Total PM2.5 Emissions,Gramercy Park - Murray Hill,
179859,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,Borough,1.0,Bronx,2015,2015-01-01,0.9,number,2015,Boiler Emissions- Total PM2.5 Emissions,Bronx,
179819,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,UHF42,208.0,Canarsie - Flatlands,2015,2015-01-01,0.0,number,2015,Boiler Emissions- Total PM2.5 Emissions,Canarsie - Flatlands,
179825,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,UHF42,406.0,Fresh Meadows,2015,2015-01-01,0.4,number,2015,Boiler Emissions- Total PM2.5 Emissions,Fresh Meadows,
179850,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,UHF42,309.0,Union Square - Lower East Side,2015,2015-01-01,2.0,number,2015,Boiler Emissions- Total PM2.5 Emissions,Union Square - Lower East Side,
179846,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,UHF42,106.0,High Bridge - Morrisania,2015,2015-01-01,1.9,number,2015,Boiler Emissions- Total PM2.5 Emissions,High Bridge - Morrisania,
179830,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,UHF42,210.0,Coney Island - Sheepshead Bay,2015,2015-01-01,0.1,number,2015,Boiler Emissions- Total PM2.5 Emissions,Coney Island - Sheepshead Bay,
179833,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,UHF42,209.0,Bensonhurst - Bay Ridge,2015,2015-01-01,0.2,number,2015,Boiler Emissions- Total PM2.5 Emissions,Bensonhurst - Bay Ridge,
179845,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,UHF42,103.0,Fordham - Bronx Pk,2015,2015-01-01,2.3,number,2015,Boiler Emissions- Total PM2.5 Emissions,Fordham - Bronx Pk,
179823,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,UHF42,205.0,Sunset Park,2015,2015-01-01,0.1,number,2015,Boiler Emissions- Total PM2.5 Emissions,Sunset Park,
