unique_id,indicator_id,name,measure,geo_type_name,geo_join_id,geo_place_name,time_period,start_date,data_value,measure_unit,year,indicator_name,location,season
179772,640,Boiler Emissions- Total SO2 Emissions,Number per km2,UHF42,409.0,Southeast Queens,2015,2015-01-01,0.3,number,2015,Boiler Emissions- Total SO2 Emissions,Southeast Queens,
179785,640,Boiler Emissions- Total SO2 Emissions,Number per km2,UHF42,209.0,Bensonhurst - Bay Ridge,2015,2015-01-01,1.2,number,2015,Boiler Emissions- Total SO2 Emissions,Bensonhurst - Bay Ridge,
130413,640,Boiler Emissions- Total SO2 Emissions,Number per km2,UHF42,210.0,Coney Island - Sheepshead Bay,2013,2013-01-01,0.9,number,2013,Boiler Emissions- Total SO2 Emissions,Coney Island - Sheepshead Bay,
130412,640,Boiler Emissions- Total SO2 Emissions,Number per km2,UHF42,209.0,Bensonhurst - Bay Ridge,2013,2013-01-01,1.7,number,2013,Boiler Emissions- Total SO2 Emissions,Bensonhurst - Bay Ridge,
130434,640,Boiler Emissions- Total SO2 Emissions,Number per km2,UHF42,410.0,Rockaways,2013,2013-01-01,0.0,number,2013,Boiler Emissions- Total SO2 Emissions,Rockaways,
130419,640,Boiler Emissions- Total SO2 Emissions,Number per km2,UHF42,305.0,Upper East Side,2013,2013-01-01,95.0,number,2013,Boiler Emissions- Total SO2 Emissions,Upper East Side,
130417,640,Boiler Emissions- Total SO2 Emissions,Number per km2,UHF42,303.0,East Harlem,2013,2013-01-01,11.6,number,2013,Boiler Emissions- Total SO2 Emissions,East Harlem,
130399,640,Boiler Emissions- Total SO2 Emissions,Number per km2,UHF42,103.0,Fordham - Bronx Pk,2013,2013-01-01,24.5,number,2013,Boiler Emissions- Total SO2 Emissions,Fordham - Bronx Pk,
179804,640,Boiler Emissions- Total SO2 Emissions,Number per km2,UHF42,306.0,Chelsea - Clinton,2015,2015-01-01,36.4,number,2015,Boiler Emissions- Total SO2 Emissions,Chelsea - Clinton,
179789,640,Boiler Emissions- Total SO2 Emissions,Number per km2,UHF42,202.0,Downtown - Heights - Slope,2015,2015-01-01,1.2,number,2015,Boiler Emissions- Total SO2 Emissions,Downtown - Heights - Slope,
130416,640,Boiler Emissions- Total SO2 Emissions,Number per km2,UHF42,302.0,Central Harlem - Morningside Heights,2013,2013-01-01,15.7,number,2013,Boiler Emissions- Total SO2 Emissions,Central Harlem - Morningside Heights,
130398,640,Boiler Emissions- Total SO2 Emissions,Number per km2,UHF42,102.0,Northeast Bronx,2013,2013-01-01,2.2,number,2013,Boiler Emissions- Total SO2 Emissions,Northeast Bronx,
130410,640,Boiler Emissions- Total SO2 Emissions,Number per km2,UHF42,207.0,East Flatbush - Flatbush,2013,2013-01-01,2.3,number,2013,Boiler Emissions- Total SO2 Emissions,East Flatbush - Flatbush,
130441,640,Boiler Emissions- Total SO2 Emissions,Number per km2,Borough,2.0,Brooklyn,2013,2013-01-01,0.8,number,2013,Boiler Emissions- Total SO2 Emissions,Brooklyn,
179790,640,Boiler Emissions- Total SO2 Emissions,Number per km2,UHF42,207.0,East Flatbush - Flatbush,2015,2015-01-01,1.7,number,2015,Boiler Emissions- Total SO2 Emissions,East Flatbush - Flatbush,
179811,640,Boiler Emissions- Total SO2 Emissions,Number per km2,Borough,1.0,Bronx,2015,2015-01-01,6.3,number,2015,Boiler Emissions- Total SO2 Emissions,Bronx,
179803,640,Boiler Emissions- Total SO2 Emissions,Number per km2,UHF42,308.0,Greenwich Village - SoHo,2015,2015-01-01,17.8,number,2015,Boiler Emissions- Total SO2 Emissions,Greenwich Village - SoHo,
130402,640,Boiler Emissions- Total SO2 Emissions,Number per km2,UHF42,106.0,High Bridge - Morrisania,2013,2013-01-01,19.7,number,2013,Boiler Emissions- Total SO2 Emissions,High Bridge - Morrisania,
179809,640,Boiler Emissions- Total SO2 Emissions,Number per km2,Borough,3.0,Manhattan,2015,2015-01-01,26.8,number,2015,Boiler Emissions- Total SO2 Emissions,Manhattan,
179801,640,Boiler Emissions- Total SO2 Emissions,Number per km2,UHF42,310.0,Lower Manhattan,2015,2015-01-01,8.3,number,2015,Boiler Emissions- Total SO2 Emissions,Lower Manhattan,
130407,640,Boiler Emissions- Total SO2 Emissions,Number per km2,UHF42,204.0,East New York,2013,2013-01-01,0.1,number,2013,Boiler Emissions- Total SO2 Emissions,East New York,
179799,640,Boiler Emissions- Total SO2 Emissions,Number per km2,UHF42,302.0,Central Harlem - Morningside Heights,2015,2015-01-01,10.7,number,2015,Boiler Emissions- Total SO2 Emissions,Central Harlem - Morningside Heights,
130401,640,Boiler Emissions- Total SO2 Emissions,Number per km2,UHF42,105.0,Crotona -Tremont,2013,2013-01-01,16.9,number,2013,Boiler Emissions- Total SO2 Emissions,Crotona -Tremont,
