unique_id,indicator_id,name,measure,geo_type_name,geo_join_id,geo_place_name,time_period,start_date,data_value,measure_unit,year,indicator_name,location,season
131006,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,310.0,Lower Manhattan,2005-2007,2005-01-01,3.8,"per 100,000",2005,Cardiac and respiratory deaths due to Ozone,Lower Manhattan,
130998,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,302.0,Central Harlem - Morningside Heights,2005-2007,2005-01-01,5.0,"per 100,000",2005,Cardiac and respiratory deaths due to Ozone,Central Harlem - Morningside Heights,
130987,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,202.0,Downtown - Heights - Slope,2005-2007,2005-01-01,4.9,"per 100,000",2005,Cardiac and respiratory deaths due to Ozone,Downtown - Heights - Slope,
828176,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,302.0,Central Harlem - Morningside Heights,2017-2019,2017-01-01,4.0,"per 100,000",2017,Cardiac and respiratory deaths due to Ozone,Central Harlem - Morningside Heights,
629176,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,302.0,Central Harlem - Morningside Heights,2015-2017,2015-01-01,4.4,"per 100,000",2015,Cardiac and respiratory deaths due to Ozone,Central Harlem - Morningside Heights,
629158,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,102.0,Northeast Bronx,2015-2017,2015-01-01,6.2,"per 100,000",2015,Cardiac and respiratory deaths due to Ozone,Northeast Bronx,
518704,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,202.0,Downtown - Heights - Slope,2012-2014,2012-01-02,4.3,"per 100,000",2012,Cardiac and respiratory deaths due to Ozone,Downtown - Heights - Slope,
518715,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,302.0,Central Harlem - Morningside Heights,2012-2014,2012-01-02,4.7,"per 100,000",2012,Cardiac and respiratory deaths due to Ozone,Central Harlem - Morningside Heights,
828179,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,305.0,Upper East Side,2017-2019,2017-01-01,4.0,"per 100,000",2017,Cardiac and respiratory deaths due to Ozone,Upper East Side,
130988,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,203.0,Bedford Stuyvesant - Crown Heights,2005-2007,2005-01-01,5.3,"per 100,000",2005,Cardiac and respiratory deaths due to Ozone,Bedford Stuyvesant - Crown Heights,
131011,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,405.0,Ridgewood - Forest Hills,2005-2007,2005-01-01,6.7,"per 100,000",2005,Cardiac and respiratory deaths due to Ozone,Ridgewood - Forest Hills,
828161,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,105.0,Crotona -Tremont,2017-2019,2017-01-01,4.0,"per 100,000",2017,Cardiac and respiratory deaths due to Ozone,Crotona -Tremont,
131001,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,305.0,Upper East Side,2005-2007,2005-01-01,4.0,"per 100,000",2005,Cardiac and respiratory deaths due to Ozone,Upper East Side,
130999,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,303.0,East Harlem,2005-2007,2005-01-01,4.7,"per 100,000",2005,Cardiac and respiratory deaths due to Ozone,East Harlem,
518726,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,403.0,Flushing - Clearview,2012-2014,2012-01-02,5.9,"per 100,000",2012,Cardiac and respiratory deaths due to Ozone,Flushing - Clearview,
629187,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,403.0,Flushing - Clearview,2015-2017,2015-01-01,5.8,"per 100,000",2015,Cardiac and respiratory deaths due to Ozone,Flushing - Clearview,
518718,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,305.0,Upper East Side,2012-2014,2012-01-02,4.3,"per 100,000",2012,Cardiac and respiratory deaths due to Ozone,Upper East Side,
131005,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,309.0,Union Square - Lower East Side,2005-2007,2005-01-01,3.9,"per 100,000",2005,Cardiac and respiratory deaths due to Ozone,Union Square - Lower East Side,
828173,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,210.0,Coney Island - Sheepshead Bay,2017-2019,2017-01-01,8.0,"per 100,000",2017,Cardiac and respiratory deaths due to Ozone,Coney Island - Sheepshead Bay,
518722,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,309.0,Union Square - Lower East Side,2012-2014,2012-01-02,4.7,"per 100,000",2012,Cardiac and respiratory deaths due to Ozone,Union Square - Lower East Side,
828167,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,204.0,East New York,2017-2019,2017-01-01,4.0,"per 100,000",2017,Cardiac and respiratory deaths due to Ozone,East New York,
131010,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,404.0,Bayside - Little Neck,2005-2007,2005-01-01,4.8,"per 100,000",2005,Cardiac and respiratory deaths due to Ozone,Bayside - Little Neck,
131026,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,Borough,5.0,Staten Island,2005-2007,2005-01-01,7.8,"per 100,000",2005,Cardiac and respiratory deaths due to Ozone,Staten Island,
629198,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,504.0,South Beach - Tottenville,2015-2017,2015-01-01,7.7,"per 100,000",2015,Cardiac and respiratory deaths due to Ozone,South Beach - Tottenville,
828175,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,301.0,Washington Heights,2017-2019,2017-01-01,4.0,"per 100,000",2017,Cardiac and respiratory deaths due to Ozone,Washington Heights,
130986,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,201.0,Greenpoint,2005-2007,2005-01-01,3.5,"per 100,000",2005,Cardiac and respiratory deaths due to Ozone,Greenpoint,
828185,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,401.0,Long Island City - Astoria,2017-2019,2017-01-01,4.0,"per 100,000",2017,Cardiac and respiratory deaths due to Ozone,Long Island City - Astoria,
518732,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,409.0,Southeast Queens,2012-2014,2012-01-02,4.3,"per 100,000",2012,Cardiac and respiratory deaths due to Ozone,Southeast Queens,
518693,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,Borough,3.0,Manhattan,2012-2014,2012-01-02,4.2,"per 100,000",2012,Cardiac and respiratory deaths due to Ozone,Manhattan,
518712,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,210.0,Coney Island - Sheepshead Bay,2012-2014,2012-01-02,8.0,"per 100,000",2012,Cardiac and respiratory deaths due to Ozone,Coney Island - Sheepshead Bay,
518723,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,310.0,Lower Manhattan,2012-2014,2012-01-02,2.5,"per 100,000",2012,Cardiac and respiratory deaths due to Ozone,Lower Manhattan,
518711,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,209.0,Bensonhurst - Bay Ridge,2012-2014,2012-01-02,6.5,"per 100,000",2012,Cardiac and respiratory deaths due to Ozone,Bensonhurst - Bay Ridge,
629172,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,209.0,Bensonhurst - Bay Ridge,2015-2017,2015-01-01,6.3,"per 100,000",2015,Cardiac and respiratory deaths due to Ozone,Bensonhurst - Bay Ridge,
629169,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,206.0,Borough Park,2015-2017,2015-01-01,4.8,"per 100,000",2015,Cardiac and respiratory deaths due to Ozone,Borough Park,
518733,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,410.0,Rockaways,2012-2014,2012-01-02,9.4,"per 100,000",2012,Cardiac and respiratory deaths due to Ozone,Rockaways,
629173,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,210.0,Coney Island - Sheepshead Bay,2015-2017,2015-01-01,8.5,"per 100,000",2015,Cardiac and respiratory deaths due to Ozone,Coney Island - Sheepshead Bay,
518724,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,401.0,Long Island City - Astoria,2012-2014,2012-01-02,4.2,"per 100,000",2012,Cardiac and respiratory deaths due to Ozone,Long Island City - Astoria,
518703,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,201.0,Greenpoint,2012-2014,2012-01-02,3.5,"per 100,000",2012,Cardiac and respiratory deaths due to Ozone,Greenpoint,
629175,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,301.0,Washington Heights,2015-2017,2015-01-01,3.3,"per 100,000",2015,Cardiac and respiratory deaths due to Ozone,Washington Heights,
629185,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,401.0,Long Island City - Astoria,2015-2017,2015-01-01,4.3,"per 100,000",2015,Cardiac and respiratory deaths due to Ozone,Long Island City - Astoria,
518714,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,301.0,Washington Heights,2012-2014,2012-01-02,3.9,"per 100,000",2012,Cardiac and respiratory deaths due to Ozone,Washington Heights,
629195,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,501.0,Port Richmond,2015-2017,2015-01-01,5.2,"per 100,000",2015,Cardiac and respiratory deaths due to Ozone,Port Richmond,
518716,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,303.0,East Harlem,2012-2014,2012-01-02,5.3,"per 100,000",2012,Cardiac and respiratory deaths due to Ozone,East Harlem,
629189,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,405.0,Ridgewood - Forest Hills,2015-2017,2015-01-01,5.3,"per 100,000",2015,Cardiac and respiratory deaths due to Ozone,Ridgewood - Forest Hills,
629159,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,103.0,Fordham - Bronx Pk,2015-2017,2015-01-01,4.0,"per 100,000",2015,Cardiac and respiratory deaths due to Ozone,Fordham - Bronx Pk,
518700,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,105.0,Crotona -Tremont,2012-2014,2012-01-02,3.4,"per 100,000",2012,Cardiac and respiratory deaths due to Ozone,Crotona -Tremont,
629177,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,303.0,East Harlem,2015-2017,2015-01-01,5.2,"per 100,000",2015,Cardiac and respiratory deaths due to Ozone,East Harlem,
629179,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,305.0,Upper East Side,2015-2017,2015-01-01,3.8,"per 100,000",2015,Cardiac and respiratory deaths due to Ozone,Upper East Side,
518729,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,406.0,Fresh Meadows,2012-2014,2012-01-02,5.4,"per 100,000",2012,Cardiac and respiratory deaths due to Ozone,Fresh Meadows,
629180,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,306.0,Chelsea - Clinton,2015-2017,2015-01-01,3.4,"per 100,000",2015,Cardiac and respiratory deaths due to Ozone,Chelsea - Clinton,
518719,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,306.0,Chelsea - Clinton,2012-2014,2012-01-02,3.7,"per 100,000",2012,Cardiac and respiratory deaths due to Ozone,Chelsea - Clinton,
629190,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,406.0,Fresh Meadows,2015-2017,2015-01-01,5.1,"per 100,000",2015,Cardiac and respiratory deaths due to Ozone,Fresh Meadows,
629174,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,211.0,Williamsburg - Bushwick,2015-2017,2015-01-01,3.7,"per 100,000",2015,Cardiac and respiratory deaths due to Ozone,Williamsburg - Bushwick,
518717,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,304.0,Upper West Side,2012-2014,2012-01-02,4.8,"per 100,000",2012,Cardiac and respiratory deaths due to Ozone,Upper West Side,
629178,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,304.0,Upper West Side,2015-2017,2015-01-01,4.6,"per 100,000",2015,Cardiac and respiratory deaths due to Ozone,Upper West Side,
518713,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,211.0,Williamsburg - Bushwick,2012-2014,2012-01-02,3.9,"per 100,000",2012,Cardiac and respiratory deaths due to Ozone,Williamsburg - Bushwick,
518727,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,404.0,Bayside - Little Neck,2012-2014,2012-01-02,4.8,"per 100,000",2012,Cardiac and respiratory deaths due to Ozone,Bayside - Little Neck,
629188,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,404.0,Bayside - Little Neck,2015-2017,2015-01-01,5.3,"per 100,000",2015,Cardiac and respiratory deaths due to Ozone,Bayside - Little Neck,
130992,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,207.0,East Flatbush - Flatbush,2005-2007,2005-01-01,4.1,"per 100,000",2005,Cardiac and respiratory deaths due to Ozone,East Flatbush - Flatbush,
130985,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,107.0,Hunts Point - Mott Haven,2005-2007,2005-01-01,2.5,"per 100,000",2005,Cardiac and respiratory deaths due to Ozone,Hunts Point - Mott Haven,
131003,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,307.0,Gramercy Park - Murray Hill,2005-2007,2005-01-01,3.2,"per 100,000",2005,Cardiac and respiratory deaths due to Ozone,Gramercy Park - Murray Hill,
131004,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,308.0,Greenwich Village - SoHo,2005-2007,2005-01-01,3.1,"per 100,000",2005,Cardiac and respiratory deaths due to Ozone,Greenwich Village - SoHo,
828181,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,307.0,Gramercy Park - Murray Hill,2017-2019,2017-01-01,3.0,"per 100,000",2017,Cardiac and respiratory deaths due to Ozone,Gramercy Park - Murray Hill,
518710,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,208.0,Canarsie - Flatlands,2012-2014,2012-01-02,5.9,"per 100,000",2012,Cardiac and respiratory deaths due to Ozone,Canarsie - Flatlands,
629171,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,208.0,Canarsie - Flatlands,2015-2017,2015-01-01,6.0,"per 100,000",2015,Cardiac and respiratory deaths due to Ozone,Canarsie - Flatlands,
518702,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,107.0,Hunts Point - Mott Haven,2012-2014,2012-01-02,3.7,"per 100,000",2012,Cardiac and respiratory deaths due to Ozone,Hunts Point - Mott Haven,
629163,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,107.0,Hunts Point - Mott Haven,2015-2017,2015-01-01,3.6,"per 100,000",2015,Cardiac and respiratory deaths due to Ozone,Hunts Point - Mott Haven,
629152,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,Borough,1.0,Bronx,2015-2017,2015-01-01,4.6,"per 100,000",2015,Cardiac and respiratory deaths due to Ozone,Bronx,
629153,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,Borough,2.0,Brooklyn,2015-2017,2015-01-01,5.0,"per 100,000",2015,Cardiac and respiratory deaths due to Ozone,Brooklyn,
629181,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,307.0,Gramercy Park - Murray Hill,2015-2017,2015-01-01,3.6,"per 100,000",2015,Cardiac and respiratory deaths due to Ozone,Gramercy Park - Murray Hill,
828168,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,205.0,Sunset Park,2017-2019,2017-01-01,3.0,"per 100,000",2017,Cardiac and respiratory deaths due to Ozone,Sunset Park,
