unique_id,indicator_id,name,measure,geo_type_name,geo_join_id,geo_place_name,time_period,start_date,data_value,measure_unit,year,indicator_name,location,season
827566,639,Deaths due to PM2.5,Estimated annual rate (age 30+),UHF42,106.0,High Bridge - Morrisania,2017-2019,2017-01-01,37.0,"per 100,000 adults",2017,Deaths due to PM2.5,High Bridge - Morrisania,
827545,639,Deaths due to PM2.5,Estimated annual rate (age 30+),UHF42,309.0,Union Square - Lower East Side,2017-2019,2017-01-01,42.0,"per 100,000 adults",2017,Deaths due to PM2.5,Union Square - Lower East Side,
130371,639,Deaths due to PM2.5,Estimated annual rate (age 30+),UHF42,210.0,Coney Island - Sheepshead Bay,2005-2007,2005-01-01,83.3,"per 100,000 adults",2005,Deaths due to PM2.5,Coney Island - Sheepshead Bay,
628386,639,Deaths due to PM2.5,Estimated annual rate (age 30+),Borough,3.0,Manhattan,2015-2017,2015-01-01,38.0,"per 100,000 adults",2015,Deaths due to PM2.5,Manhattan,
827549,639,Deaths due to PM2.5,Estimated annual rate (age 30+),UHF42,305.0,Upper East Side,2017-2019,2017-01-01,32.0,"per 100,000 adults",2017,Deaths due to PM2.5,Upper East Side,
130387,639,Deaths due to PM2.5,Estimated annual rate (age 30+),UHF42,405.0,Ridgewood - Forest Hills,2005-2007,2005-01-01,72.0,"per 100,000 adults",2005,Deaths due to PM2.5,Ridgewood - Forest Hills,
827541,639,Deaths due to PM2.5,Estimated annual rate (age 30+),UHF42,403.0,Flushing - Clearview,2017-2019,2017-01-01,30.0,"per 100,000 adults",2017,Deaths due to PM2.5,Flushing - Clearview,
130375,639,Deaths due to PM2.5,Estimated annual rate (age 30+),UHF42,303.0,East Harlem,2005-2007,2005-01-01,100.5,"per 100,000 adults",2005,Deaths due to PM2.5,East Harlem,
518766,639,Deaths due to PM2.5,Estimated annual rate (age 30+),UHF42,305.0,Upper East Side,2012-2014,2012-01-02,43.4,"per 100,000 adults",2012,Deaths due to PM2.5,Upper East Side,
628409,639,Deaths due to PM2.5,Estimated annual rate (age 30+),UHF42,303.0,East Harlem,2015-2017,2015-01-01,54.2,"per 100,000 adults",2015,Deaths due to PM2.5,East Harlem,
518770,639,Deaths due to PM2.5,Estimated annual rate (age 30+),UHF42,309.0,Union Square - Lower East Side,2012-2014,2012-01-02,47.3,"per 100,000 adults",2012,Deaths due to PM2.5,Union Square - Lower East Side,
628416,639,Deaths due to PM2.5,Estimated annual rate (age 30+),UHF42,310.0,Lower Manhattan,2015-2017,2015-01-01,27.3,"per 100,000 adults",2015,Deaths due to PM2.5,Lower Manhattan,
518741,639,Deaths due to PM2.5,Estimated annual rate (age 30+),Borough,3.0,Manhattan,2012-2014,2012-01-02,44.0,"per 100,000 adults",2012,Deaths due to PM2.5,Manhattan,
518780,639,Deaths due to PM2.5,Estimated annual rate (age 30+),UHF42,409.0,Southeast Queens,2012-2014,2012-01-02,27.4,"per 100,000 adults",2012,Deaths due to PM2.5,Southeast Queens,
628425,639,Deaths due to PM2.5,Estimated annual rate (age 30+),UHF42,409.0,Southeast Queens,2015-2017,2015-01-01,26.3,"per 100,000 adults",2015,Deaths due to PM2.5,Southeast Queens,
827530,639,Deaths due to PM2.5,Estimated annual rate (age 30+),UHF42,504.0,South Beach - Tottenville,2017-2019,2017-01-01,42.0,"per 100,000 adults",2017,Deaths due to PM2.5,South Beach - Tottenville,
130372,639,Deaths due to PM2.5,Estimated annual rate (age 30+),UHF42,211.0,Williamsburg - Bushwick,2005-2007,2005-01-01,72.2,"per 100,000 adults",2005,Deaths due to PM2.5,Williamsburg - Bushwick,
518775,639,Deaths due to PM2.5,Estimated annual rate (age 30+),UHF42,404.0,Bayside - Little Neck,2012-2014,2012-01-02,28.4,"per 100,000 adults",2012,Deaths due to PM2.5,Bayside - Little Neck,
628420,639,Deaths due to PM2.5,Estimated annual rate (age 30+),UHF42,404.0,Bayside - Little Neck,2015-2017,2015-01-01,29.7,"per 100,000 adults",2015,Deaths due to PM2.5,Bayside - Little Neck,
628406,639,Deaths due to PM2.5,Estimated annual rate (age 30+),UHF42,211.0,Williamsburg - Bushwick,2015-2017,2015-01-01,34.7,"per 100,000 adults",2015,Deaths due to PM2.5,Williamsburg - Bushwick,
518761,639,Deaths due to PM2.5,Estimated annual rate (age 30+),UHF42,211.0,Williamsburg - Bushwick,2012-2014,2012-01-02,41.1,"per 100,000 adults",2012,Deaths due to PM2.5,Williamsburg - Bushwick,
130355,639,Deaths due to PM2.5,Estimated annual rate (age 30+),UHF42,101.0,Kingsbridge - Riverdale,2005-2007,2005-01-01,117.7,"per 100,000 adults",2005,Deaths due to PM2.5,Kingsbridge - Riverdale,
827543,639,Deaths due to PM2.5,Estimated annual rate (age 30+),UHF42,401.0,Long Island City - Astoria,2017-2019,2017-01-01,27.0,"per 100,000 adults",2017,Deaths due to PM2.5,Long Island City - Astoria,
827571,639,Deaths due to PM2.5,Estimated annual rate (age 30+),UHF42,101.0,Kingsbridge - Riverdale,2017-2019,2017-01-01,50.0,"per 100,000 adults",2017,Deaths due to PM2.5,Kingsbridge - Riverdale,
827553,639,Deaths due to PM2.5,Estimated annual rate (age 30+),UHF42,301.0,Washington Heights,2017-2019,2017-01-01,28.0,"per 100,000 adults",2017,Deaths due to PM2.5,Washington Heights,
518762,639,Deaths due to PM2.5,Estimated annual rate (age 30+),UHF42,301.0,Washington Heights,2012-2014,2012-01-02,38.9,"per 100,000 adults",2012,Deaths due to PM2.5,Washington Heights,
130374,639,Deaths due to PM2.5,Estimated annual rate (age 30+),UHF42,302.0,Central Harlem - Morningside Heights,2005-2007,2005-01-01,105.2,"per 100,000 adults",2005,Deaths due to PM2.5,Central Harlem - Morningside Heights,
827563,639,Deaths due to PM2.5,Estimated annual rate (age 30+),UHF42,202.0,Downtown - Heights - Slope,2017-2019,2017-01-01,24.0,"per 100,000 adults",2017,Deaths due to PM2.5,Downtown - Heights - Slope,
827552,639,Deaths due to PM2.5,Estimated annual rate (age 30+),UHF42,302.0,Central Harlem - Morningside Heights,2017-2019,2017-01-01,38.0,"per 100,000 adults",2017,Deaths due to PM2.5,Central Harlem - Morningside Heights,
518745,639,Deaths due to PM2.5,Estimated annual rate (age 30+),UHF42,102.0,Northeast Bronx,2012-2014,2012-01-02,47.9,"per 100,000 adults",2012,Deaths due to PM2.5,Northeast Bronx,
628408,639,Deaths due to PM2.5,Estimated annual rate (age 30+),UHF42,302.0,Central Harlem - Morningside Heights,2015-2017,2015-01-01,45.4,"per 100,000 adults",2015,Deaths due to PM2.5,Central Harlem - Morningside Heights,
628417,639,Deaths due to PM2.5,Estimated annual rate (age 30+),UHF42,401.0,Long Island City - Astoria,2015-2017,2015-01-01,31.4,"per 100,000 adults",2015,Deaths due to PM2.5,Long Island City - Astoria,
518744,639,Deaths due to PM2.5,Estimated annual rate (age 30+),UHF42,101.0,Kingsbridge - Riverdale,2012-2014,2012-01-02,69.4,"per 100,000 adults",2012,Deaths due to PM2.5,Kingsbridge - Riverdale,
518751,639,Deaths due to PM2.5,Estimated annual rate (age 30+),UHF42,201.0,Greenpoint,2012-2014,2012-01-02,37.1,"per 100,000 adults",2012,Deaths due to PM2.5,Greenpoint,
518759,639,Deaths due to PM2.5,Estimated annual rate (age 30+),UHF42,209.0,Bensonhurst - Bay Ridge,2012-2014,2012-01-02,41.3,"per 100,000 adults",2012,Deaths due to PM2.5,Bensonhurst - Bay Ridge,
628401,639,Deaths due to PM2.5,Estimated annual rate (age 30+),UHF42,206.0,Borough Park,2015-2017,2015-01-01,39.2,"per 100,000 adults",2015,Deaths due to PM2.5,Borough Park,
518760,639,Deaths due to PM2.5,Estimated annual rate (age 30+),UHF42,210.0,Coney Island - Sheepshead Bay,2012-2014,2012-01-02,49.6,"per 100,000 adults",2012,Deaths due to PM2.5,Coney Island - Sheepshead Bay,
628405,639,Deaths due to PM2.5,Estimated annual rate (age 30+),UHF42,210.0,Coney Island - Sheepshead Bay,2015-2017,2015-01-01,53.1,"per 100,000 adults",2015,Deaths due to PM2.5,Coney Island - Sheepshead Bay,
