unique_id,indicator_id,name,measure,geo_type_name,geo_join_id,geo_place_name,time_period,start_date,data_value,measure_unit,year,indicator_name,location,season
178540,365,Fine particles (PM 2.5),Mean,UHF42,209.0,Bensonhurst - Bay Ridge,Annual Average 2012,2011-12-01,8.6,mcg/m3,2012,Fine particles (PM 2.5),Bensonhurst - Bay Ridge,
178561,365,Fine particles (PM 2.5),Mean,UHF42,409.0,Southeast Queens,Annual Average 2012,2011-12-01,8.0,mcg/m3,2012,Fine particles (PM 2.5),Southeast Queens,
823217,365,Fine particles (PM 2.5),Mean,UHF42,409.0,Southeast Queens,Summer 2022,2022-06-01,6.1,mcg/m3,2022,Fine particles (PM 2.5),Southeast Queens,Summer
177910,365,Fine particles (PM 2.5),Mean,UHF42,209.0,Bensonhurst - Bay Ridge,Summer 2012,2012-06-01,10.0,mcg/m3,2012,Fine particles (PM 2.5),Bensonhurst - Bay Ridge,Summer
177952,365,Fine particles (PM 2.5),Mean,UHF42,209.0,Bensonhurst - Bay Ridge,Summer 2013,2013-06-01,9.8,mcg/m3,2013,Fine particles (PM 2.5),Bensonhurst - Bay Ridge,Summer
177973,365,Fine particles (PM 2.5),Mean,UHF42,409.0,Southeast Queens,Summer 2013,2013-06-01,9.8,mcg/m3,2013,Fine particles (PM 2.5),Southeast Queens,Summer
177931,365,Fine particles (PM 2.5),Mean,UHF42,409.0,Southeast Queens,Summer 2012,2012-06-01,9.6,mcg/m3,2012,Fine particles (PM 2.5),Southeast Queens,Summer
742274,365,Fine particles (PM 2.5),Mean,UHF42,410.0,Rockaways,Summer 2021,2021-06-01,7.2,mcg/m3,2021,Fine particles (PM 2.5),Rockaways,Summer
178582,365,Fine particles (PM 2.5),Mean,UHF42,209.0,Bensonhurst - Bay Ridge,Annual Average 2013,2012-12-01,8.2,mcg/m3,2013,Fine particles (PM 2.5),Bensonhurst - Bay Ridge,
178583,365,Fine particles (PM 2.5),Mean,UHF42,210.0,Coney Island - Sheepshead Bay,Annual Average 2013,2012-12-01,8.1,mcg/m3,2013,Fine particles (PM 2.5),Coney Island - Sheepshead Bay,
