unique_id,indicator_id,name,measure,geo_type_name,geo_join_id,geo_place_name,time_period,start_date,data_value,measure_unit,year,indicator_name,location,season
176692,375,Nitrogen dioxide (NO2),Mean,UHF42,209.0,Bensonhurst - Bay Ridge,Annual Average 2013,2012-12-01,18.6,ppb,2013,Nitrogen dioxide (NO2),Bensonhurst - Bay Ridge,
549806,375,Nitrogen dioxide (NO2),Mean,UHF42,209.0,Bensonhurst - Bay Ridge,Annual Average 2017,2017-01-01,17.7,ppb,2017,Nitrogen dioxide (NO2),Bensonhurst - Bay Ridge,
175369,375,Nitrogen dioxide (NO2),Mean,UHF42,409.0,Southeast Queens,Winter 2010-11,2010-12-01,25.7,ppb,2010,Nitrogen dioxide (NO2),Southeast Queens,Winter
175915,375,Nitrogen dioxide (NO2),Mean,UHF42,409.0,Southeast Queens,Summer 2009,2009-06-01,16.1,ppb,2009,Nitrogen dioxide (NO2),Southeast Queens,Summer
549872,375,Nitrogen dioxide (NO2),Mean,UHF42,410.0,Rockaways,Annual Average 2017,2017-01-01,12.7,ppb,2017,Nitrogen dioxide (NO2),Rockaways,
741006,375,Nitrogen dioxide (NO2),Mean,UHF42,410.0,Rockaways,Annual Average 2021,2021-01-01,11.4,ppb,2021,Nitrogen dioxide (NO2),Rockaways,
175916,375,Nitrogen dioxide (NO2),Mean,UHF42,410.0,Rockaways,Summer 2009,2009-06-01,8.6,ppb,2009,Nitrogen dioxide (NO2),Rockaways,Summer
336603,375,Nitrogen dioxide (NO2),Mean,UHF42,410.0,Rockaways,Winter 2014-15,2014-12-01,20.7,ppb,2014,Nitrogen dioxide (NO2),Rockaways,Winter
175354,375,Nitrogen dioxide (NO2),Mean,UHF42,304.0,Upper West Side,Winter 2010-11,2010-12-01,33.7,ppb,2010,Nitrogen dioxide (NO2),Upper West Side,Winter
176698,375,Nitrogen dioxide (NO2),Mean,UHF42,304.0,Upper West Side,Annual Average 2013,2012-12-01,26.5,ppb,2013,Nitrogen dioxide (NO2),Upper West Side,
175364,375,Nitrogen dioxide (NO2),Mean,UHF42,404.0,Bayside - Little Neck,Winter 2010-11,2010-12-01,26.2,ppb,2010,Nitrogen dioxide (NO2),Bayside - Little Neck,Winter
175896,375,Nitrogen dioxide (NO2),Mean,UHF42,211.0,Williamsburg - Bushwick,Summer 2009,2009-06-01,23.1,ppb,2009,Nitrogen dioxide (NO2),Williamsburg - Bushwick,Summer
549854,375,Nitrogen dioxide (NO2),Mean,UHF42,404.0,Bayside - Little Neck,Annual Average 2017,2017-01-01,16.6,ppb,2017,Nitrogen dioxide (NO2),Bayside - Little Neck,
740946,375,Nitrogen dioxide (NO2),Mean,UHF42,211.0,Williamsburg - Bushwick,Annual Average 2021,2021-01-01,19.0,ppb,2021,Nitrogen dioxide (NO2),Williamsburg - Bushwick,
549824,375,Nitrogen dioxide (NO2),Mean,UHF42,304.0,Upper West Side,Annual Average 2017,2017-01-01,23.4,ppb,2017,Nitrogen dioxide (NO2),Upper West Side,
176656,375,Nitrogen dioxide (NO2),Mean,UHF42,304.0,Upper West Side,Annual Average 2012,2011-12-01,27.1,ppb,2012,Nitrogen dioxide (NO2),Upper West Side,
