unique_id,indicator_id,name,measure,geo_type_name,geo_join_id,geo_place_name,time_period,start_date,data_value,measure_unit,year,indicator_name,location,season
130690,646,Outdoor Air Toxics - Benzene,Annual average concentration,UHF42,106.0,High Bridge - Morrisania,2005,2005-01-01,3.0,âµg/m3,2005,Outdoor Air Toxics - Benzene,High Bridge - Morrisania,
130712,646,Outdoor Air Toxics - Benzene,Annual average concentration,UHF42,310.0,Lower Manhattan,2005,2005-01-01,6.3,âµg/m3,2005,Outdoor Air Toxics - Benzene,Lower Manhattan,
130694,646,Outdoor Air Toxics - Benzene,Annual average concentration,UHF42,203.0,Bedford Stuyvesant - Crown Heights,2005,2005-01-01,2.5,âµg/m3,2005,Outdoor Air Toxics - Benzene,Bedford Stuyvesant - Crown Heights,
130705,646,Outdoor Air Toxics - Benzene,Annual average concentration,UHF42,303.0,East Harlem,2005,2005-01-01,4.2,âµg/m3,2005,Outdoor Air Toxics - Benzene,East Harlem,
130716,646,Outdoor Air Toxics - Benzene,Annual average concentration,UHF42,404.0,Bayside - Little Neck,2005,2005-01-01,1.9,âµg/m3,2005,Outdoor Air Toxics - Benzene,Bayside - Little Neck,
130732,646,Outdoor Air Toxics - Benzene,Annual average concentration,Borough,5.0,Staten Island,2005,2005-01-01,1.6,âµg/m3,2005,Outdoor Air Toxics - Benzene,Staten Island,
130718,646,Outdoor Air Toxics - Benzene,Annual average concentration,UHF42,406.0,Fresh Meadows,2005,2005-01-01,1.7,âµg/m3,2005,Outdoor Air Toxics - Benzene,Fresh Meadows,
130707,646,Outdoor Air Toxics - Benzene,Annual average concentration,UHF42,305.0,Upper East Side,2005,2005-01-01,4.5,âµg/m3,2005,Outdoor Air Toxics - Benzene,Upper East Side,
130717,646,Outdoor Air Toxics - Benzene,Annual average concentration,UHF42,405.0,Ridgewood - Forest Hills,2005,2005-01-01,2.0,âµg/m3,2005,Outdoor Air Toxics - Benzene,Ridgewood - Forest Hills,
130706,646,Outdoor Air Toxics - Benzene,Annual average concentration,UHF42,304.0,Upper West Side,2005,2005-01-01,3.9,âµg/m3,2005,Outdoor Air Toxics - Benzene,Upper West Side,
130695,646,Outdoor Air Toxics - Benzene,Annual average concentration,UHF42,204.0,East New York,2005,2005-01-01,2.3,âµg/m3,2005,Outdoor Air Toxics - Benzene,East New York,
130726,646,Outdoor Air Toxics - Benzene,Annual average concentration,UHF42,504.0,South Beach - Tottenville,2005,2005-01-01,1.1,âµg/m3,2005,Outdoor Air Toxics - Benzene,South Beach - Tottenville,
315621,646,Outdoor Air Toxics - Benzene,Annual average concentration,UHF42,404.0,Bayside - Little Neck,2011,2011-01-01,1.2,âµg/m3,2011,Outdoor Air Toxics - Benzene,Bayside - Little Neck,
799804,646,Outdoor Air Toxics - Benzene,Annual average concentration,UHF42,404.0,Bayside - Little Neck,2014,2014-01-01,0.9,âµg/m3,2014,Outdoor Air Toxics - Benzene,Bayside - Little Neck,
130702,646,Outdoor Air Toxics - Benzene,Annual average concentration,UHF42,211.0,Williamsburg - Bushwick,2005,2005-01-01,2.8,âµg/m3,2005,Outdoor Air Toxics - Benzene,Williamsburg - Bushwick,
130692,646,Outdoor Air Toxics - Benzene,Annual average concentration,UHF42,201.0,Greenpoint,2005,2005-01-01,3.7,âµg/m3,2005,Outdoor Air Toxics - Benzene,Greenpoint,
130713,646,Outdoor Air Toxics - Benzene,Annual average concentration,UHF42,401.0,Long Island City - Astoria,2005,2005-01-01,2.7,âµg/m3,2005,Outdoor Air Toxics - Benzene,Long Island City - Astoria,
130723,646,Outdoor Air Toxics - Benzene,Annual average concentration,UHF42,501.0,Port Richmond,2005,2005-01-01,2.5,âµg/m3,2005,Outdoor Air Toxics - Benzene,Port Richmond,
130703,646,Outdoor Air Toxics - Benzene,Annual average concentration,UHF42,301.0,Washington Heights,2005,2005-01-01,4.1,âµg/m3,2005,Outdoor Air Toxics - Benzene,Washington Heights,
130685,646,Outdoor Air Toxics - Benzene,Annual average concentration,UHF42,101.0,Kingsbridge - Riverdale,2005,2005-01-01,2.9,âµg/m3,2005,Outdoor Air Toxics - Benzene,Kingsbridge - Riverdale,
315618,646,Outdoor Air Toxics - Benzene,Annual average concentration,UHF42,401.0,Long Island City - Astoria,2011,2011-01-01,1.8,âµg/m3,2011,Outdoor Air Toxics - Benzene,Long Island City - Astoria,
315608,646,Outdoor Air Toxics - Benzene,Annual average concentration,UHF42,301.0,Washington Heights,2011,2011-01-01,2.4,âµg/m3,2011,Outdoor Air Toxics - Benzene,Washington Heights,
799773,646,Outdoor Air Toxics - Benzene,Annual average concentration,UHF42,101.0,Kingsbridge - Riverdale,2014,2014-01-01,0.9,âµg/m3,2014,Outdoor Air Toxics - Benzene,Kingsbridge - Riverdale,
130689,646,Outdoor Air Toxics - Benzene,Annual average concentration,UHF42,105.0,Crotona -Tremont,2005,2005-01-01,3.0,âµg/m3,2005,Outdoor Air Toxics - Benzene,Crotona -Tremont,
130696,646,Outdoor Air Toxics - Benzene,Annual average concentration,UHF42,205.0,Sunset Park,2005,2005-01-01,3.2,âµg/m3,2005,Outdoor Air Toxics - Benzene,Sunset Park,
315620,646,Outdoor Air Toxics - Benzene,Annual average concentration,UHF42,403.0,Flushing - Clearview,2011,2011-01-01,1.4,âµg/m3,2011,Outdoor Air Toxics - Benzene,Flushing - Clearview,
130715,646,Outdoor Air Toxics - Benzene,Annual average concentration,UHF42,403.0,Flushing - Clearview,2005,2005-01-01,1.9,âµg/m3,2005,Outdoor Air Toxics - Benzene,Flushing - Clearview,
130687,646,Outdoor Air Toxics - Benzene,Annual average concentration,UHF42,103.0,Fordham - Bronx Pk,2005,2005-01-01,2.7,âµg/m3,2005,Outdoor Air Toxics - Benzene,Fordham - Bronx Pk,
130725,646,Outdoor Air Toxics - Benzene,Annual average concentration,UHF42,503.0,Willowbrook,2005,2005-01-01,1.6,âµg/m3,2005,Outdoor Air Toxics - Benzene,Willowbrook,
