unique_id,indicator_id,name,measure,geo_type_name,geo_join_id,geo_place_name,time_period,start_date,data_value,measure_unit,year,indicator_name,location,season
799822,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,UHF42,201.0,Greenpoint,2014,2014-01-01,1.7,âµg/m3,2014,Outdoor Air Toxics - Formaldehyde,Greenpoint,
130740,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,UHF42,201.0,Greenpoint,2005,2005-01-01,3.5,âµg/m3,2005,Outdoor Air Toxics - Formaldehyde,Greenpoint,
130733,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,UHF42,101.0,Kingsbridge - Riverdale,2005,2005-01-01,3.2,âµg/m3,2005,Outdoor Air Toxics - Formaldehyde,Kingsbridge - Riverdale,
315666,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,UHF42,401.0,Long Island City - Astoria,2011,2011-01-01,2.3,âµg/m3,2011,Outdoor Air Toxics - Formaldehyde,Long Island City - Astoria,
315656,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,UHF42,301.0,Washington Heights,2011,2011-01-01,2.8,âµg/m3,2011,Outdoor Air Toxics - Formaldehyde,Washington Heights,
799843,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,UHF42,401.0,Long Island City - Astoria,2014,2014-01-01,1.7,âµg/m3,2014,Outdoor Air Toxics - Formaldehyde,Long Island City - Astoria,
130738,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,UHF42,106.0,High Bridge - Morrisania,2005,2005-01-01,3.6,âµg/m3,2005,Outdoor Air Toxics - Formaldehyde,High Bridge - Morrisania,
130748,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,UHF42,209.0,Bensonhurst - Bay Ridge,2005,2005-01-01,2.7,âµg/m3,2005,Outdoor Air Toxics - Formaldehyde,Bensonhurst - Bay Ridge,
315674,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,UHF42,409.0,Southeast Queens,2011,2011-01-01,1.8,âµg/m3,2011,Outdoor Air Toxics - Formaldehyde,Southeast Queens,
315653,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,UHF42,209.0,Bensonhurst - Bay Ridge,2011,2011-01-01,2.0,âµg/m3,2011,Outdoor Air Toxics - Formaldehyde,Bensonhurst - Bay Ridge,
799852,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,UHF42,410.0,Rockaways,2014,2014-01-01,1.1,âµg/m3,2014,Outdoor Air Toxics - Formaldehyde,Rockaways,
799851,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,UHF42,409.0,Southeast Queens,2014,2014-01-01,1.4,âµg/m3,2014,Outdoor Air Toxics - Formaldehyde,Southeast Queens,
315635,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Borough,3.0,Manhattan,2011,2011-01-01,2.4,âµg/m3,2011,Outdoor Air Toxics - Formaldehyde,Manhattan,
799830,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,UHF42,209.0,Bensonhurst - Bay Ridge,2014,2014-01-01,1.5,âµg/m3,2014,Outdoor Air Toxics - Formaldehyde,Bensonhurst - Bay Ridge,
799827,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,UHF42,206.0,Borough Park,2014,2014-01-01,1.6,âµg/m3,2014,Outdoor Air Toxics - Formaldehyde,Borough Park,
315660,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,UHF42,305.0,Upper East Side,2011,2011-01-01,2.8,âµg/m3,2011,Outdoor Air Toxics - Formaldehyde,Upper East Side,
315649,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,UHF42,205.0,Sunset Park,2011,2011-01-01,2.0,âµg/m3,2011,Outdoor Air Toxics - Formaldehyde,Sunset Park,
315640,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,UHF42,103.0,Fordham - Bronx Pk,2011,2011-01-01,2.2,âµg/m3,2011,Outdoor Air Toxics - Formaldehyde,Fordham - Bronx Pk,
130744,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,UHF42,205.0,Sunset Park,2005,2005-01-01,3.2,âµg/m3,2005,Outdoor Air Toxics - Formaldehyde,Sunset Park,
130753,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,UHF42,303.0,East Harlem,2005,2005-01-01,4.2,âµg/m3,2005,Outdoor Air Toxics - Formaldehyde,East Harlem,
130737,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,UHF42,105.0,Crotona -Tremont,2005,2005-01-01,3.4,âµg/m3,2005,Outdoor Air Toxics - Formaldehyde,Crotona -Tremont,
799847,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,UHF42,405.0,Ridgewood - Forest Hills,2014,2014-01-01,1.6,âµg/m3,2014,Outdoor Air Toxics - Formaldehyde,Ridgewood - Forest Hills,
315647,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,UHF42,203.0,Bedford Stuyvesant - Crown Heights,2011,2011-01-01,2.0,âµg/m3,2011,Outdoor Air Toxics - Formaldehyde,Bedford Stuyvesant - Crown Heights,
315658,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,UHF42,303.0,East Harlem,2011,2011-01-01,2.6,âµg/m3,2011,Outdoor Air Toxics - Formaldehyde,East Harlem,
799838,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,UHF42,306.0,Chelsea - Clinton,2014,2014-01-01,1.7,âµg/m3,2014,Outdoor Air Toxics - Formaldehyde,Chelsea - Clinton,
315646,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,UHF42,202.0,Downtown - Heights - Slope,2011,2011-01-01,2.2,âµg/m3,2011,Outdoor Air Toxics - Formaldehyde,Downtown - Heights - Slope,
799823,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,UHF42,202.0,Downtown - Heights - Slope,2014,2014-01-01,1.6,âµg/m3,2014,Outdoor Air Toxics - Formaldehyde,Downtown - Heights - Slope,
130752,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,UHF42,302.0,Central Harlem - Morningside Heights,2005,2005-01-01,4.2,âµg/m3,2005,Outdoor Air Toxics - Formaldehyde,Central Harlem - Morningside Heights,
799816,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,UHF42,102.0,Northeast Bronx,2014,2014-01-01,1.5,âµg/m3,2014,Outdoor Air Toxics - Formaldehyde,Northeast Bronx,
799834,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,UHF42,302.0,Central Harlem - Morningside Heights,2014,2014-01-01,1.7,âµg/m3,2014,Outdoor Air Toxics - Formaldehyde,Central Harlem - Morningside Heights,
799836,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,UHF42,304.0,Upper West Side,2014,2014-01-01,1.6,âµg/m3,2014,Outdoor Air Toxics - Formaldehyde,Upper West Side,
315655,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,UHF42,211.0,Williamsburg - Bushwick,2011,2011-01-01,2.1,âµg/m3,2011,Outdoor Air Toxics - Formaldehyde,Williamsburg - Bushwick,
799866,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Borough,4.0,Queens,2014,2014-01-01,1.4,âµg/m3,2014,Outdoor Air Toxics - Formaldehyde,Queens,
315636,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Borough,4.0,Queens,2011,2011-01-01,2.1,âµg/m3,2011,Outdoor Air Toxics - Formaldehyde,Queens,
315651,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,UHF42,207.0,East Flatbush - Flatbush,2011,2011-01-01,2.1,âµg/m3,2011,Outdoor Air Toxics - Formaldehyde,East Flatbush - Flatbush,
315633,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Borough,1.0,Bronx,2011,2011-01-01,2.0,âµg/m3,2011,Outdoor Air Toxics - Formaldehyde,Bronx,
130746,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,UHF42,207.0,East Flatbush - Flatbush,2005,2005-01-01,2.8,âµg/m3,2005,Outdoor Air Toxics - Formaldehyde,East Flatbush - Flatbush,
130739,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,UHF42,107.0,Hunts Point - Mott Haven,2005,2005-01-01,3.5,âµg/m3,2005,Outdoor Air Toxics - Formaldehyde,Hunts Point - Mott Haven,
130776,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Borough,1.0,Bronx,2005,2005-01-01,3.3,âµg/m3,2005,Outdoor Air Toxics - Formaldehyde,Bronx,
130777,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Borough,2.0,Brooklyn,2005,2005-01-01,3.0,âµg/m3,2005,Outdoor Air Toxics - Formaldehyde,Brooklyn,
315634,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Borough,2.0,Brooklyn,2011,2011-01-01,2.2,âµg/m3,2011,Outdoor Air Toxics - Formaldehyde,Brooklyn,
315644,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,UHF42,107.0,Hunts Point - Mott Haven,2011,2011-01-01,2.1,âµg/m3,2011,Outdoor Air Toxics - Formaldehyde,Hunts Point - Mott Haven,
799840,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,UHF42,308.0,Greenwich Village - SoHo,2014,2014-01-01,1.6,âµg/m3,2014,Outdoor Air Toxics - Formaldehyde,Greenwich Village - SoHo,
799824,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,UHF42,203.0,Bedford Stuyvesant - Crown Heights,2014,2014-01-01,1.6,âµg/m3,2014,Outdoor Air Toxics - Formaldehyde,Bedford Stuyvesant - Crown Heights,
