unique_id,indicator_id,name,measure,geo_type_name,geo_join_id,geo_place_name,time_period,start_date,data_value,measure_unit,year,indicator_name,location,season
412019,386,Ozone (O3),Mean,UHF42,308.0,Greenwich Village - SoHo,Summer 2016,2016-06-01,30.0,ppb,2016,Ozone (O3),Greenwich Village - SoHo,Summer
411990,386,Ozone (O3),Mean,Borough,2.0,Brooklyn,Summer 2016,2016-06-01,34.0,ppb,2016,Ozone (O3),Brooklyn,Summer
222481,386,Ozone (O3),Mean,UHF42,207.0,East Flatbush - Flatbush,Summer 2011,2011-06-01,32.7,ppb,2011,Ozone (O3),East Flatbush - Flatbush,Summer
412008,386,Ozone (O3),Mean,UHF42,208.0,Canarsie - Flatlands,Summer 2016,2016-06-01,35.8,ppb,2016,Ozone (O3),Canarsie - Flatlands,Summer
222439,386,Ozone (O3),Mean,UHF42,107.0,Hunts Point - Mott Haven,Summer 2011,2011-06-01,33.4,ppb,2011,Ozone (O3),Hunts Point - Mott Haven,Summer
219966,386,Ozone (O3),Mean,Borough,1.0,Bronx,Summer 2010,2010-06-01,33.2,ppb,2010,Ozone (O3),Bronx,Summer
412028,386,Ozone (O3),Mean,UHF42,407.0,Southwest Queens,Summer 2016,2016-06-01,34.3,ppb,2016,Ozone (O3),Southwest Queens,Summer
216483,386,Ozone (O3),Mean,CD,311.0,Bensonhurst (CD11),Summer 2010,2010-06-01,34.9,ppb,2010,Ozone (O3),Bensonhurst (CD11),Summer
216484,386,Ozone (O3),Mean,CD,311.0,Bensonhurst (CD11),Summer 2011,2011-06-01,34.5,ppb,2011,Ozone (O3),Bensonhurst (CD11),Summer
412081,386,Ozone (O3),Mean,CD,111.0,East Harlem (CD11),Summer 2016,2016-06-01,31.7,ppb,2016,Ozone (O3),East Harlem (CD11),Summer
216580,386,Ozone (O3),Mean,CD,409.0,Kew Gardens and Woodhaven (CD9),Summer 2011,2011-06-01,32.8,ppb,2011,Ozone (O3),Kew Gardens and Woodhaven (CD9),Summer
216579,386,Ozone (O3),Mean,CD,409.0,Kew Gardens and Woodhaven (CD9),Summer 2010,2010-06-01,33.2,ppb,2010,Ozone (O3),Kew Gardens and Woodhaven (CD9),Summer
216327,386,Ozone (O3),Mean,CD,109.0,Morningside Heights and Hamilton Heights (CD9),Summer 2010,2010-06-01,29.6,ppb,2010,Ozone (O3),Morningside Heights and Hamilton Heights (CD9),Summer
216328,386,Ozone (O3),Mean,CD,109.0,Morningside Heights and Hamilton Heights (CD9),Summer 2011,2011-06-01,29.2,ppb,2011,Ozone (O3),Morningside Heights and Hamilton Heights (CD9),Summer
216339,386,Ozone (O3),Mean,CD,111.0,East Harlem (CD11),Summer 2010,2010-06-01,30.6,ppb,2010,Ozone (O3),East Harlem (CD11),Summer
216485,386,Ozone (O3),Mean,CD,311.0,Bensonhurst (CD11),Summer 2012,2012-06-01,34.9,ppb,2012,Ozone (O3),Bensonhurst (CD11),Summer
216581,386,Ozone (O3),Mean,CD,409.0,Kew Gardens and Woodhaven (CD9),Summer 2012,2012-06-01,33.2,ppb,2012,Ozone (O3),Kew Gardens and Woodhaven (CD9),Summer
216582,386,Ozone (O3),Mean,CD,409.0,Kew Gardens and Woodhaven (CD9),Summer 2013,2013-06-01,30.8,ppb,2013,Ozone (O3),Kew Gardens and Woodhaven (CD9),Summer
216330,386,Ozone (O3),Mean,CD,109.0,Morningside Heights and Hamilton Heights (CD9),Summer 2013,2013-06-01,28.3,ppb,2013,Ozone (O3),Morningside Heights and Hamilton Heights (CD9),Summer
216342,386,Ozone (O3),Mean,CD,111.0,East Harlem (CD11),Summer 2013,2013-06-01,28.9,ppb,2013,Ozone (O3),East Harlem (CD11),Summer
743627,386,Ozone (O3),Mean,CD,211.0,Morris Park and Bronxdale (CD11),Summer 2021,2021-06-01,30.3,ppb,2021,Ozone (O3),Morris Park and Bronxdale (CD11),Summer
