unique_id,indicator_id,name,measure,geo_type_name,geo_join_id,geo_place_name,time_period,start_date,data_value,measure_unit,year,indicator_name,location,season
518816,650,Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,UHF42,307.0,Gramercy Park - Murray Hill,2012-2014,2012-01-02,8.9,"per 100,000 adults",2012,Respiratory hospitalizations due to PM2.5 (age 20+),Gramercy Park - Murray Hill,
131520,650,Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,UHF42,207.0,East Flatbush - Flatbush,2009-2011,2009-01-01,10.5,"per 100,000 adults",2009,Respiratory hospitalizations due to PM2.5 (age 20+),East Flatbush - Flatbush,
518817,650,Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,UHF42,308.0,Greenwich Village - SoHo,2012-2014,2012-01-02,5.3,"per 100,000 adults",2012,Respiratory hospitalizations due to PM2.5 (age 20+),Greenwich Village - SoHo,
628568,650,Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,UHF42,408.0,Jamaica,2015-2017,2015-01-01,10.5,"per 100,000 adults",2015,Respiratory hospitalizations due to PM2.5 (age 20+),Jamaica,
628528,650,Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,Borough,1.0,Bronx,2015-2017,2015-01-01,19.6,"per 100,000 adults",2015,Respiratory hospitalizations due to PM2.5 (age 20+),Bronx,
518798,650,Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,UHF42,107.0,Hunts Point - Mott Haven,2012-2014,2012-01-02,25.5,"per 100,000 adults",2012,Respiratory hospitalizations due to PM2.5 (age 20+),Hunts Point - Mott Haven,
628546,650,Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,UHF42,207.0,East Flatbush - Flatbush,2015-2017,2015-01-01,9.7,"per 100,000 adults",2015,Respiratory hospitalizations due to PM2.5 (age 20+),East Flatbush - Flatbush,
131508,650,Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,UHF42,102.0,Northeast Bronx,2009-2011,2009-01-01,18.6,"per 100,000 adults",2009,Respiratory hospitalizations due to PM2.5 (age 20+),Northeast Bronx,
131530,650,Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,UHF42,306.0,Chelsea - Clinton,2009-2011,2009-01-01,9.0,"per 100,000 adults",2009,Respiratory hospitalizations due to PM2.5 (age 20+),Chelsea - Clinton,
518815,650,Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,UHF42,306.0,Chelsea - Clinton,2012-2014,2012-01-02,9.4,"per 100,000 adults",2012,Respiratory hospitalizations due to PM2.5 (age 20+),Chelsea - Clinton,
628566,650,Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,UHF42,406.0,Fresh Meadows,2015-2017,2015-01-01,8.5,"per 100,000 adults",2015,Respiratory hospitalizations due to PM2.5 (age 20+),Fresh Meadows,
518800,650,Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,UHF42,202.0,Downtown - Heights - Slope,2012-2014,2012-01-02,10.2,"per 100,000 adults",2012,Respiratory hospitalizations due to PM2.5 (age 20+),Downtown - Heights - Slope,
