TimePeriod,GeoType,GeoID,GeoRank,Geography,Estimated annual number (age 18+),Estimated annual number (under age 18),"Estimated annual rate (age 18+) per 100,000 adults","Estimated annual rate (under age 18) per 100,000 children"
2017-2019,UHF42,101,4,Kingsbridge - Riverdale,2.0,3.0,3.0,14.0
2017-2019,UHF42,102,4,Northeast Bronx,9.0,13.0,5.0,26.0
2017-2019,UHF42,103,4,Fordham - Bronx Pk,14.0,24.0,7.0,31.0
2017-2019,UHF42,104,4,Pelham - Throgs Neck,13.0,17.0,5.0,22.0
2017-2019,UHF42,105,4,Crotona -Tremont,11.0,18.0,7.0,28.0
2017-2019,UHF42,106,4,High Bridge - Morrisania,15.0,17.0,9.0,26.0
2017-2019,UHF42,107,4,Hunts Point - Mott Haven,11.0,14.0,11.0,34.0
2017-2019,UHF42,201,4,Greenpoint,1.0,1.0,1.0,3.0
2017-2019,UHF42,202,4,Downtown - Heights - Slope,4.0,5.0,2.0,9.0
2017-2019,UHF42,203,4,Bedford Stuyvesant - Crown Heights,9.0,22.0,3.0,28.0
2017-2019,UHF42,204,4,East New York,5.0,16.0,3.0,30.0
2017-2019,UHF42,205,4,Sunset Park,2.0,2.0,2.0,7.0
2017-2019,UHF42,206,4,Borough Park,2.0,3.0,1.0,3.0
2017-2019,UHF42,207,4,East Flatbush - Flatbush,6.0,15.0,2.0,22.0
2017-2019,UHF42,208,4,Canarsie - Flatlands,4.0,9.0,2.0,18.0
2017-2019,UHF42,209,4,Bensonhurst - Bay Ridge,2.0,2.0,1.0,4.0
2017-2019,UHF42,210,4,Coney Island - Sheepshead Bay,4.0,5.0,2.0,8.0
2017-2019,UHF42,211,4,Williamsburg - Bushwick,6.0,10.0,3.0,16.0
2017-2019,UHF42,301,4,Washington Heights,6.0,10.0,3.0,20.0
2017-2019,UHF42,302,4,Central Harlem - Morningside Heights,6.0,12.0,4.0,32.0
2017-2019,UHF42,303,4,East Harlem,4.0,8.0,5.0,31.0
2017-2019,UHF42,304,4,Upper West Side,2.0,2.0,1.0,6.0
2017-2019,UHF42,305,4,Upper East Side,1.0,2.0,1.0,5.0
2017-2019,UHF42,306,4,Chelsea - Clinton,1.0,1.0,1.0,9.0
2017-2019,UHF42,307,4,Gramercy Park - Murray Hill,1.0,1.0,1.0,7.0
2017-2019,UHF42,308,4,Greenwich Village - SoHo,0.0,0.0,0.0,2.0
2017-2019,UHF42,309,4,Union Square - Lower East Side,3.0,2.0,2.0,9.0
2017-2019,UHF42,310,4,Lower Manhattan,1.0,0.0,1.0,5.0
2017-2019,UHF42,401,4,Long Island City - Astoria,2.0,2.0,1.0,6.0
2017-2019,UHF42,402,4,West Queens,7.0,10.0,2.0,10.0
2017-2019,UHF42,403,4,Flushing - Clearview,2.0,5.0,1.0,10.0
2017-2019,UHF42,404,4,Bayside - Little Neck,0.0,1.0,0.0,3.0
2017-2019,UHF42,405,4,Ridgewood - Forest Hills,2.0,5.0,1.0,9.0
2017-2019,UHF42,406,4,Fresh Meadows,2.0,3.0,2.0,11.0
2017-2019,UHF42,407,4,Southwest Queens,4.0,7.0,2.0,11.0
2017-2019,UHF42,408,4,Jamaica,7.0,11.0,3.0,14.0
2017-2019,UHF42,409,4,Southeast Queens,2.0,6.0,1.0,13.0
2017-2019,UHF42,410,4,Rockaways,2.0,3.0,2.0,9.0
2017-2019,UHF42,501,4,Port Richmond,2.0,4.0,4.0,20.0
2017-2019,UHF42,502,4,Stapleton - St. George,3.0,5.0,3.0,16.0
2017-2019,UHF42,503,4,Willowbrook,1.0,1.0,2.0,6.0
2017-2019,UHF42,504,4,South Beach - Tottenville,2.0,2.0,1.0,3.0
2017-2019,Borough,1,1,Bronx,74.0,105.0,7.0,27.0
2017-2019,Borough,2,1,Brooklyn,44.0,89.0,2.0,14.0
