TimePeriod,GeoType,GeoID,GeoRank,Geography,Estimated annual number,"Estimated annual rate per 100,000 adults"
2017-2019,UHF42,101,4,Kingsbridge - Riverdale,5.0,10.0
2017-2019,UHF42,102,4,Northeast Bronx,11.0,10.0
2017-2019,UHF42,103,4,Fordham - Bronx Pk,13.0,12.0
2017-2019,UHF42,104,4,Pelham - Throgs Neck,16.0,11.0
2017-2019,UHF42,105,4,Crotona -Tremont,11.0,13.0
2017-2019,UHF42,106,4,High Bridge - Morrisania,12.0,13.0
2017-2019,UHF42,107,4,Hunts Point - Mott Haven,8.0,14.0
2017-2019,UHF42,201,4,Greenpoint,3.0,8.0
2017-2019,UHF42,202,4,Downtown - Heights - Slope,9.0,9.0
2017-2019,UHF42,203,4,Bedford Stuyvesant - Crown Heights,19.0,13.0
2017-2019,UHF42,204,4,East New York,11.0,13.0
2017-2019,UHF42,205,4,Sunset Park,4.0,8.0
2017-2019,UHF42,206,4,Borough Park,13.0,10.0
2017-2019,UHF42,207,4,East Flatbush - Flatbush,16.0,11.0
2017-2019,UHF42,208,4,Canarsie - Flatlands,12.0,11.0
2017-2019,UHF42,209,4,Bensonhurst - Bay Ridge,9.0,9.0
2017-2019,UHF42,210,4,Coney Island - Sheepshead Bay,19.0,12.0
2017-2019,UHF42,211,4,Williamsburg - Bushwick,10.0,12.0
2017-2019,UHF42,301,4,Washington Heights,12.0,10.0
2017-2019,UHF42,302,4,Central Harlem - Morningside Heights,9.0,11.0
2017-2019,UHF42,303,4,East Harlem,7.0,14.0
2017-2019,UHF42,304,4,Upper West Side,9.0,8.0
2017-2019,UHF42,305,4,Upper East Side,8.0,7.0
2017-2019,UHF42,306,4,Chelsea - Clinton,6.0,8.0
2017-2019,UHF42,307,4,Gramercy Park - Murray Hill,5.0,7.0
2017-2019,UHF42,308,4,Greenwich Village - SoHo,2.0,5.0
2017-2019,UHF42,309,4,Union Square - Lower East Side,9.0,10.0
2017-2019,UHF42,310,4,Lower Manhattan,2.0,7.0
2017-2019,UHF42,401,4,Long Island City - Astoria,8.0,9.0
2017-2019,UHF42,402,4,West Queens,16.0,7.0
2017-2019,UHF42,403,4,Flushing - Clearview,9.0,6.0
2017-2019,UHF42,404,4,Bayside - Little Neck,2.0,3.0
2017-2019,UHF42,405,4,Ridgewood - Forest Hills,10.0,7.0
2017-2019,UHF42,406,4,Fresh Meadows,3.0,6.0
2017-2019,UHF42,407,4,Southwest Queens,14.0,10.0
2017-2019,UHF42,408,4,Jamaica,15.0,9.0
2017-2019,UHF42,409,4,Southeast Queens,7.0,6.0
2017-2019,UHF42,410,4,Rockaways,6.0,9.0
2017-2019,UHF42,501,4,Port Richmond,4.0,11.0
2017-2019,UHF42,502,4,Stapleton - St. George,8.0,12.0
2017-2019,UHF42,503,4,Willowbrook,5.0,11.0
2017-2019,UHF42,504,4,South Beach - Tottenville,11.0,10.0
2017-2019,Borough,1,1,Bronx,75.0,12.0
2017-2019,Borough,2,1,Brooklyn,126.0,11.0
2017-2019,Borough,3,1,Manhattan,70.0,9.0
2017-2019,Borough,4,1,Queens,89.0,8.0
2017-2019,Borough,5,1,Staten Island,27.0,11.0
2017-2019,Citywide,1,0,New York City,387.0,10.0
2015-2017,UHF42,101,4,Kingsbridge - Riverdale,8.7,18.2
2015-2017,UHF42,102,4,Northeast Bronx,18.9,18.5
2015-2017,UHF42,103,4,Fordham - Bronx Pk,21.4,21.2
2015-2017,UHF42,104,4,Pelham - Throgs Neck,26.5,19.2
2015-2017,UHF42,105,4,Crotona -Tremont,19.3,23.3
2015-2017,UHF42,106,4,High Bridge - Morrisania,20.2,23.5
2015-2017,UHF42,107,4,Hunts Point - Mott Haven,13.2,24.3
2015-2017,UHF42,201,4,Greenpoint,6.9,15.9
2015-2017,UHF42,202,4,Downtown - Heights - Slope,14.1,14.4
2015-2017,UHF42,203,4,Bedford Stuyvesant - Crown Heights,30.6,22.3
2015-2017,UHF42,204,4,East New York,17.6,22.8
2015-2017,UHF42,205,4,Sunset Park,6.3,12.4
2015-2017,UHF42,206,4,Borough Park,22.4,16.1
2015-2017,UHF42,207,4,East Flatbush - Flatbush,25.9,18.3
2015-2017,UHF42,208,4,Canarsie - Flatlands,18.8,18.3
2015-2017,UHF42,209,4,Bensonhurst - Bay Ridge,14.7,14.2
2015-2017,UHF42,210,4,Coney Island - Sheepshead Bay,30.6,20.0
2015-2017,UHF42,211,4,Williamsburg - Bushwick,16.7,21.0
2015-2017,UHF42,301,4,Washington Heights,20.8,17.1
2015-2017,UHF42,302,4,Central Harlem - Morningside Heights,14.9,20.2
2015-2017,UHF42,303,4,East Harlem,12.5,25.5
2015-2017,UHF42,304,4,Upper West Side,14.1,12.3
2015-2017,UHF42,305,4,Upper East Side,12.5,11.0
2015-2017,UHF42,306,4,Chelsea - Clinton,8.6,11.7
2015-2017,UHF42,307,4,Gramercy Park - Murray Hill,7.2,12.0
2015-2017,UHF42,308,4,Greenwich Village - SoHo,3.2,8.3
2015-2017,UHF42,309,4,Union Square - Lower East Side,14.3,15.6
2015-2017,UHF42,310,4,Lower Manhattan,2.2,10.9
2015-2017,UHF42,401,4,Long Island City - Astoria,13.2,14.7
2015-2017,UHF42,402,4,West Queens,26.7,12.7
2015-2017,UHF42,403,4,Flushing - Clearview,18.7,12.8
2015-2017,UHF42,404,4,Bayside - Little Neck,6.0,11.7
2015-2017,UHF42,405,4,Ridgewood - Forest Hills,18.5,14.5
2015-2017,UHF42,406,4,Fresh Meadows,5.9,11.7
2015-2017,UHF42,407,4,Southwest Queens,25.5,18.5
2015-2017,UHF42,408,4,Jamaica,29.7,19.4
2015-2017,UHF42,409,4,Southeast Queens,19.4,17.3
2015-2017,UHF42,410,4,Rockaways,12.1,21.0
2015-2017,UHF42,501,4,Port Richmond,5.1,17.9
2015-2017,UHF42,502,4,Stapleton - St. George,11.5,19.1
2015-2017,UHF42,503,4,Willowbrook,7.9,16.8
2015-2017,UHF42,504,4,South Beach - Tottenville,15.8,15.6
2015-2017,Borough,1,1,Bronx,128.2,21.0
2015-2017,Borough,2,1,Brooklyn,204.7,18.2
2015-2017,Borough,3,1,Manhattan,110.1,14.6
2015-2017,Borough,4,1,Queens,175.8,15.5
2015-2017,Borough,5,1,Staten Island,40.3,17.0
2015-2017,Citywide,1,0,New York City,659.0,17.0
2012-2014,UHF42,101,4,Kingsbridge - Riverdale,6.5,14.0
2012-2014,UHF42,102,4,Northeast Bronx,12.3,13.0
2012-2014,UHF42,103,4,Fordham - Bronx Pk,14.4,14.5
2012-2014,UHF42,104,4,Pelham - Throgs Neck,18.6,13.9
2012-2014,UHF42,105,4,Crotona -Tremont,14.3,18.1
2012-2014,UHF42,106,4,High Bridge - Morrisania,14.6,17.8
2012-2014,UHF42,107,4,Hunts Point - Mott Haven,10.2,19.7
2012-2014,UHF42,201,4,Greenpoint,6.4,15.8
2012-2014,UHF42,202,4,Downtown - Heights - Slope,13.7,15.7
2012-2014,UHF42,203,4,Bedford Stuyvesant - Crown Heights,23.2,17.7
2012-2014,UHF42,204,4,East New York,12.6,16.9
2012-2014,UHF42,205,4,Sunset Park,5.9,11.7
2012-2014,UHF42,206,4,Borough Park,18.9,13.9
2012-2014,UHF42,207,4,East Flatbush - Flatbush,18.3,13.4
2012-2014,UHF42,208,4,Canarsie - Flatlands,12.5,13.1
2012-2014,UHF42,209,4,Bensonhurst - Bay Ridge,11.8,11.1
2012-2014,UHF42,210,4,Coney Island - Sheepshead Bay,23.3,15.0
2012-2014,UHF42,211,4,Williamsburg - Bushwick,14.5,19.2
2012-2014,UHF42,301,4,Washington Heights,15.5,14.0
2012-2014,UHF42,302,4,Central Harlem - Morningside Heights,10.9,16.2
2012-2014,UHF42,303,4,East Harlem,9.7,20.7
2012-2014,UHF42,304,4,Upper West Side,11.0,9.6
2012-2014,UHF42,305,4,Upper East Side,10.4,9.2
2012-2014,UHF42,306,4,Chelsea - Clinton,8.0,11.8
2012-2014,UHF42,307,4,Gramercy Park - Murray Hill,7.4,12.1
2012-2014,UHF42,308,4,Greenwich Village - SoHo,2.8,7.3
2012-2014,UHF42,309,4,Union Square - Lower East Side,11.6,12.7
2012-2014,UHF42,310,4,Lower Manhattan,2.3,12.4
2012-2014,UHF42,401,4,Long Island City - Astoria,10.0,11.4
2012-2014,UHF42,402,4,West Queens,19.0,8.8
2012-2014,UHF42,403,4,Flushing - Clearview,13.4,9.2
2012-2014,UHF42,404,4,Bayside - Little Neck,4.3,8.7
2012-2014,UHF42,405,4,Ridgewood - Forest Hills,13.6,11.2
2012-2014,UHF42,406,4,Fresh Meadows,4.5,9.4
2012-2014,UHF42,407,4,Southwest Queens,16.6,13.3
2012-2014,UHF42,408,4,Jamaica,19.7,14.4
2012-2014,UHF42,409,4,Southeast Queens,11.4,11.2
2012-2014,UHF42,410,4,Rockaways,7.3,13.9
2012-2014,UHF42,501,4,Port Richmond,3.7,12.5
2012-2014,UHF42,502,4,Stapleton - St. George,7.6,12.7
2012-2014,UHF42,503,4,Willowbrook,6.3,14.0
2012-2014,UHF42,504,4,South Beach - Tottenville,11.1,11.4
2012-2014,Borough,1,1,Bronx,90.8,15.5
2012-2014,Borough,2,1,Brooklyn,161.2,14.8
2012-2014,Borough,3,1,Manhattan,89.6,12.3
2012-2014,Borough,4,1,Queens,119.7,11.1
2012-2014,Borough,5,1,Staten Island,28.7,12.4
2012-2014,Citywide,1,0,New York City,490.0,13.2
2009-2011,UHF42,101,4,Kingsbridge - Riverdale,8.5,
2009-2011,UHF42,102,4,Northeast Bronx,14.8,
2009-2011,UHF42,103,4,Fordham - Bronx Pk,17.6,
2009-2011,UHF42,104,4,Pelham - Throgs Neck,25.0,
2009-2011,UHF42,105,4,Crotona -Tremont,16.1,
2009-2011,UHF42,106,4,High Bridge - Morrisania,18.6,
2009-2011,UHF42,107,4,Hunts Point - Mott Haven,12.0,
2009-2011,UHF42,201,4,Greenpoint,8.2,
2009-2011,UHF42,202,4,Downtown - Heights - Slope,16.9,
2009-2011,UHF42,203,4,Bedford Stuyvesant - Crown Heights,30.3,
2009-2011,UHF42,204,4,East New York,16.2,
2009-2011,UHF42,205,4,Sunset Park,8.2,
2009-2011,UHF42,206,4,Borough Park,26.1,
2009-2011,UHF42,207,4,East Flatbush - Flatbush,24.2,
2009-2011,UHF42,208,4,Canarsie - Flatlands,16.9,
2009-2011,UHF42,209,4,Bensonhurst - Bay Ridge,17.1,
2009-2011,UHF42,210,4,Coney Island - Sheepshead Bay,34.4,
2009-2011,UHF42,211,4,Williamsburg - Bushwick,19.5,
2009-2011,UHF42,301,4,Washington Heights,19.5,
2009-2011,UHF42,302,4,Central Harlem - Morningside Heights,13.1,
2009-2011,UHF42,303,4,East Harlem,10.6,
2009-2011,UHF42,304,4,Upper West Side,13.3,
2009-2011,UHF42,305,4,Upper East Side,12.0,
2009-2011,UHF42,306,4,Chelsea - Clinton,7.7,
2009-2011,UHF42,307,4,Gramercy Park - Murray Hill,7.6,
2009-2011,UHF42,308,4,Greenwich Village - SoHo,3.5,
2009-2011,UHF42,309,4,Union Square - Lower East Side,16.2,
2009-2011,UHF42,310,4,Lower Manhattan,2.4,
2009-2011,UHF42,401,4,Long Island City - Astoria,13.7,
2009-2011,UHF42,402,4,West Queens,26.8,
2009-2011,UHF42,403,4,Flushing - Clearview,19.4,
2009-2011,UHF42,404,4,Bayside - Little Neck,6.0,
