TimePeriod,GeoType,GeoID,GeoRank,Geography,Estimated annual number (age 30+),"Estimated annual rate (age 30+) per 100,000 adults"
2017-2019,UHF42,101,4,Kingsbridge - Riverdale,32.0,50.0
2017-2019,UHF42,102,4,Northeast Bronx,52.0,39.0
2017-2019,UHF42,103,4,Fordham - Bronx Pk,52.0,35.0
2017-2019,UHF42,104,4,Pelham - Throgs Neck,69.0,37.0
2017-2019,UHF42,105,4,Crotona -Tremont,40.0,34.0
2017-2019,UHF42,106,4,High Bridge - Morrisania,45.0,37.0
2017-2019,UHF42,107,4,Hunts Point - Mott Haven,30.0,39.0
2017-2019,UHF42,201,4,Greenpoint,20.0,33.0
2017-2019,UHF42,202,4,Downtown - Heights - Slope,42.0,24.0
2017-2019,UHF42,203,4,Bedford Stuyvesant - Crown Heights,76.0,37.0
2017-2019,UHF42,204,4,East New York,38.0,34.0
2017-2019,UHF42,205,4,Sunset Park,19.0,27.0
2017-2019,UHF42,206,4,Borough Park,67.0,36.0
2017-2019,UHF42,207,4,East Flatbush - Flatbush,65.0,34.0
2017-2019,UHF42,208,4,Canarsie - Flatlands,51.0,37.0
2017-2019,UHF42,209,4,Bensonhurst - Bay Ridge,50.0,36.0
2017-2019,UHF42,210,4,Coney Island - Sheepshead Bay,94.0,47.0
2017-2019,UHF42,211,4,Williamsburg - Bushwick,38.0,32.0
2017-2019,UHF42,301,4,Washington Heights,48.0,28.0
2017-2019,UHF42,302,4,Central Harlem - Morningside Heights,43.0,38.0
2017-2019,UHF42,303,4,East Harlem,32.0,45.0
2017-2019,UHF42,304,4,Upper West Side,55.0,35.0
2017-2019,UHF42,305,4,Upper East Side,50.0,32.0
2017-2019,UHF42,306,4,Chelsea - Clinton,31.0,26.0
2017-2019,UHF42,307,4,Gramercy Park - Murray Hill,29.0,30.0
2017-2019,UHF42,308,4,Greenwich Village - SoHo,15.0,26.0
2017-2019,UHF42,309,4,Union Square - Lower East Side,53.0,42.0
2017-2019,UHF42,310,4,Lower Manhattan,9.0,23.0
2017-2019,UHF42,401,4,Long Island City - Astoria,37.0,27.0
2017-2019,UHF42,402,4,West Queens,71.0,24.0
2017-2019,UHF42,403,4,Flushing - Clearview,55.0,30.0
2017-2019,UHF42,404,4,Bayside - Little Neck,15.0,24.0
2017-2019,UHF42,405,4,Ridgewood - Forest Hills,50.0,28.0
2017-2019,UHF42,406,4,Fresh Meadows,16.0,25.0
2017-2019,UHF42,407,4,Southwest Queens,47.0,26.0
2017-2019,UHF42,408,4,Jamaica,58.0,28.0
2017-2019,UHF42,409,4,Southeast Queens,33.0,22.0
2017-2019,UHF42,410,4,Rockaways,36.0,44.0
2017-2019,UHF42,501,4,Port Richmond,16.0,38.0
2017-2019,UHF42,502,4,Stapleton - St. George,37.0,47.0
2017-2019,UHF42,503,4,Willowbrook,26.0,42.0
2017-2019,UHF42,504,4,South Beach - Tottenville,55.0,42.0
2017-2019,Borough,1,1,Bronx,320.0,37.0
2017-2019,Borough,2,1,Brooklyn,561.0,35.0
2017-2019,Borough,3,1,Manhattan,365.0,33.0
2017-2019,Borough,4,1,Queens,418.0,27.0
2017-2019,Borough,5,1,Staten Island,134.0,43.0
2017-2019,Citywide,1,0,New York City,"1,798.0",33.0
2015-2017,UHF42,101,4,Kingsbridge - Riverdale,38.2,63.0
2015-2017,UHF42,102,4,Northeast Bronx,60.3,47.3
2015-2017,UHF42,103,4,Fordham - Bronx Pk,57.9,41.4
2015-2017,UHF42,104,4,Pelham - Throgs Neck,78.4,42.8
2015-2017,UHF42,105,4,Crotona -Tremont,43.5,38.4
2015-2017,UHF42,106,4,High Bridge - Morrisania,50.3,43.0
2015-2017,UHF42,107,4,Hunts Point - Mott Haven,33.8,45.4
2015-2017,UHF42,201,4,Greenpoint,21.9,29.9
2015-2017,UHF42,202,4,Downtown - Heights - Slope,42.8,26.5
2015-2017,UHF42,203,4,Bedford Stuyvesant - Crown Heights,80.5,41.8
2015-2017,UHF42,204,4,East New York,38.1,37.1
2015-2017,UHF42,205,4,Sunset Park,21.0,28.0
2015-2017,UHF42,206,4,Borough Park,73.8,39.2
2015-2017,UHF42,207,4,East Flatbush - Flatbush,67.6,36.2
2015-2017,UHF42,208,4,Canarsie - Flatlands,52.3,40.0
2015-2017,UHF42,209,4,Bensonhurst - Bay Ridge,55.7,40.5
2015-2017,UHF42,210,4,Coney Island - Sheepshead Bay,101.6,53.1
2015-2017,UHF42,211,4,Williamsburg - Bushwick,40.6,34.7
2015-2017,UHF42,301,4,Washington Heights,55.7,33.2
2015-2017,UHF42,302,4,Central Harlem - Morningside Heights,47.3,45.4
2015-2017,UHF42,303,4,East Harlem,36.8,54.2
2015-2017,UHF42,304,4,Upper West Side,62.4,40.5
2015-2017,UHF42,305,4,Upper East Side,55.0,35.4
2015-2017,UHF42,306,4,Chelsea - Clinton,34.5,31.7
2015-2017,UHF42,307,4,Gramercy Park - Murray Hill,31.0,35.7
2015-2017,UHF42,308,4,Greenwich Village - SoHo,14.5,25.5
2015-2017,UHF42,309,4,Union Square - Lower East Side,56.5,45.1
2015-2017,UHF42,310,4,Lower Manhattan,9.7,27.3
2015-2017,UHF42,401,4,Long Island City - Astoria,42.6,31.4
2015-2017,UHF42,402,4,West Queens,78.5,27.1
2015-2017,UHF42,403,4,Flushing - Clearview,65.8,36.1
2015-2017,UHF42,404,4,Bayside - Little Neck,18.6,29.7
2015-2017,UHF42,405,4,Ridgewood - Forest Hills,58.8,34.7
2015-2017,UHF42,406,4,Fresh Meadows,19.6,30.7
2015-2017,UHF42,407,4,Southwest Queens,49.6,27.6
2015-2017,UHF42,408,4,Jamaica,62.5,31.7
2015-2017,UHF42,409,4,Southeast Queens,36.6,26.3
2015-2017,UHF42,410,4,Rockaways,37.0,50.2
2015-2017,UHF42,501,4,Port Richmond,15.8,41.9
2015-2017,UHF42,502,4,Stapleton - St. George,38.1,50.0
2015-2017,UHF42,503,4,Willowbrook,28.0,48.4
2015-2017,UHF42,504,4,South Beach - Tottenville,57.7,45.9
2015-2017,Borough,1,1,Bronx,362.4,44.4
2015-2017,Borough,2,1,Brooklyn,596.0,38.3
2015-2017,Borough,3,1,Manhattan,403.3,38.0
2015-2017,Borough,4,1,Queens,469.7,31.4
2015-2017,Borough,5,1,Staten Island,139.7,46.9
2015-2017,Citywide,1,0,New York City,"1,971.0",37.7
2012-2014,UHF42,101,4,Kingsbridge - Riverdale,40.8,69.4
2012-2014,UHF42,102,4,Northeast Bronx,56.7,47.9
2012-2014,UHF42,103,4,Fordham - Bronx Pk,59.3,43.5
2012-2014,UHF42,104,4,Pelham - Throgs Neck,80.4,45.4
2012-2014,UHF42,105,4,Crotona -Tremont,45.8,42.6
2012-2014,UHF42,106,4,High Bridge - Morrisania,53.0,47.6
2012-2014,UHF42,107,4,Hunts Point - Mott Haven,32.9,46.5
2012-2014,UHF42,201,4,Greenpoint,25.2,37.1
2012-2014,UHF42,202,4,Downtown - Heights - Slope,51.7,36.0
2012-2014,UHF42,203,4,Bedford Stuyvesant - Crown Heights,82.6,45.5
2012-2014,UHF42,204,4,East New York,38.5,38.6
2012-2014,UHF42,205,4,Sunset Park,22.9,30.9
2012-2014,UHF42,206,4,Borough Park,78.3,42.1
2012-2014,UHF42,207,4,East Flatbush - Flatbush,66.8,37.3
2012-2014,UHF42,208,4,Canarsie - Flatlands,47.9,39.5
2012-2014,UHF42,209,4,Bensonhurst - Bay Ridge,58.5,41.3
2012-2014,UHF42,210,4,Coney Island - Sheepshead Bay,96.7,49.6
2012-2014,UHF42,211,4,Williamsburg - Bushwick,44.8,41.1
2012-2014,UHF42,301,4,Washington Heights,59.0,38.9
2012-2014,UHF42,302,4,Central Harlem - Morningside Heights,49.8,53.1
2012-2014,UHF42,303,4,East Harlem,37.4,57.9
2012-2014,UHF42,304,4,Upper West Side,68.4,44.1
2012-2014,UHF42,305,4,Upper East Side,67.4,43.4
2012-2014,UHF42,306,4,Chelsea - Clinton,40.7,40.2
2012-2014,UHF42,307,4,Gramercy Park - Murray Hill,40.1,45.2
2012-2014,UHF42,308,4,Greenwich Village - SoHo,18.0,31.7
2012-2014,UHF42,309,4,Union Square - Lower East Side,60.0,47.3
2012-2014,UHF42,310,4,Lower Manhattan,11.0,34.4
2012-2014,UHF42,401,4,Long Island City - Astoria,42.0,31.6
2012-2014,UHF42,402,4,West Queens,79.5,26.3
2012-2014,UHF42,403,4,Flushing - Clearview,66.9,36.5
2012-2014,UHF42,404,4,Bayside - Little Neck,17.4,28.4
2012-2014,UHF42,405,4,Ridgewood - Forest Hills,63.1,39.0
2012-2014,UHF42,406,4,Fresh Meadows,21.3,35.2
2012-2014,UHF42,407,4,Southwest Queens,47.8,29.3
2012-2014,UHF42,408,4,Jamaica,64.7,36.5
2012-2014,UHF42,409,4,Southeast Queens,34.6,27.4
2012-2014,UHF42,410,4,Rockaways,33.1,49.5
2012-2014,UHF42,501,4,Port Richmond,16.1,41.1
2012-2014,UHF42,502,4,Stapleton - St. George,37.5,49.6
2012-2014,UHF42,503,4,Willowbrook,31.7,57.2
2012-2014,UHF42,504,4,South Beach - Tottenville,53.9,44.7
2012-2014,Borough,1,1,Bronx,368.9,47.3
2012-2014,Borough,2,1,Brooklyn,614.0,41.0
2012-2014,Borough,3,1,Manhattan,451.8,44.0
2012-2014,Borough,4,1,Queens,470.5,32.8
2012-2014,Borough,5,1,Staten Island,139.3,47.8
2012-2014,Citywide,1,0,New York City,"2,044.5",40.6
